"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-295.05948,840.95056,-1459.44727,149.20271,712.97662,-1495.05005,NA,NA,NA,-16.59452,848.06342,-1437.1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,-293.78467,52.88445,-1550.96985,NA,NA,NA,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-296.62521,839.65417,-1458.94666,148.16896,712.28467,-1491.44214,NA,NA,NA,-17.38339,846.55896,-1439.63977,NA,NA,NA,NA,NA,NA,NA,NA,NA,-295.08002,53.28804,-1550.73083,NA,NA,NA,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-297.99014,838.66443,-1459.94507,148.09642,711.13013,-1488.5127,NA,NA,NA,-18.44498,843.79974,-1439.64758,NA,NA,NA,NA,NA,NA,NA,NA,NA,-296.20377,53.26278,-1550.3877,NA,NA,NA,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-299.12399,838.23383,-1459.69727,147.63115,711.0434,-1486.26855,NA,NA,NA,-21.12208,844.17389,-1433.38916,NA,NA,NA,NA,NA,NA,NA,NA,NA,-297.67545,54.85991,-1549.4115,NA,NA,NA,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300.73492,837.62518,-1461.10095,146.10696,709.85461,-1481.57275,NA,NA,NA,-21.43919,840.24042,-1438.20154,NA,NA,NA,NA,NA,NA,NA,NA,NA,-299.55969,56.73256,-1546.90759,NA,NA,NA,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-301.76065,835.36664,-1465.13123,145.72791,708.68433,-1479.08545,NA,NA,NA,-22.89624,838.08795,-1435.71582,NA,NA,NA,NA,NA,NA,NA,NA,NA,-301.50192,58.70044,-1545.51343,NA,NA,NA,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-303.50253,833.91858,-1465.07678,144.99847,707.46472,-1476.06006,NA,NA,NA,-24.06711,838.065,-1432.13904,NA,NA,NA,NA,NA,NA,NA,NA,NA,-303.76395,57.92415,-1548.43457,NA,NA,NA,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.45547,923.74554,-1590.35669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-305.16342,834.43524,-1465.96497,144.22813,706.79413,-1472.9314,NA,NA,NA,-25.20936,837.37268,-1429.77673,0.5145,393.45691,-1463.00146,NA,NA,NA,NA,NA,NA,-307.50385,61.60792,-1541.68225,NA,NA,NA,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.00377,924.44031,-1575.46021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-308.27078,834.43066,-1463.8075,143.325,704.80878,-1467.36926,NA,NA,NA,-27.26482,835.76727,-1425.57031,-0.53396,392.08594,-1462.06726,NA,NA,NA,NA,NA,NA,-310.49371,63.34364,-1537.46692,NA,NA,NA,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.62297,921.62317,-1575.39099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-309.66168,832.25085,-1465.7179,143.32729,704.70441,-1465.55042,NA,NA,NA,-28.34882,834.98651,-1422.78418,-0.9107,391.83142,-1462.41052,NA,NA,NA,NA,NA,NA,-313.8992,65.2545,-1535.09863,NA,NA,NA,NA,NA,NA
