"ConditionID","Mode","Composition","Collider","n_trials","mean_A","sd_A","mean_B","sd_B"
"C7","AR","2R0V","0",3,1593.80876703727,54.9184633813826,1564.62717762167,255.929488712891
"C11","AR","2R0V","1",3,1576.95685846513,73.0930853086794,1531.17789427089,225.775641434407
"C6","AR","2R0V","2",3,1551.16001814291,64.2747781566034,1490.75800084766,67.6444344323667
"C8","AR","1R1V","0",3,1536.52099105391,12.7157137726802,1589.00841060091,184.782761477912
"C12","AR","1R1V","1",3,1503.86917289954,86.2099255261303,1489.67069888235,174.479336685958
"C4","AR","1R1V","2",3,1598.91240284302,20.7325300554189,1541.53627517806,140.620090832093
"C10","AR","0R2V","0",3,1625.24240496674,87.7086651211433,1564.19603338241,169.05230901414
"C5","AR","0R2V","1",3,1547.2540936504,61.1513285840195,1455.80044380925,119.169420511672
"C9","AR","0R2V","2",3,1521.04472426875,17.6158941686732,1490.66582083551,125.757809225432
"C1","VR","2R0V","0",2,1382.48955123955,99.1838821440651,1763.62534234222,375.663231379065
"C3","VR","2R0V","1",3,1546.89087210492,125.926412809013,1701.67084186713,183.679929313848
"C2","VR","2R0V","2",3,1540.72040784407,62.3486579508819,1560.1060890314,64.7872047842504
