"TrialNum","SourceFile","n_frames","mean_visible_markers","mean_dist_A","mean_dist_B","ConditionID","Mode","Composition","Collider"
5,"P2_Trial5_raw.csv",1110,16.1315315315315,1312.35595559107,1497.99132399163,"C1","VR","2R0V","0"
6,"P2_Trial6_raw.csv",1009,9.83349851337958,1452.62314688802,2029.25936069281,"C1","VR","2R0V","0"
7,"P2_Trial7_raw.csv",784,13.7806122448979,1581.14410540118,1609.74967220598,"C2","VR","2R0V","2"
8,"P2_Trial8_raw.csv",932,14.6180257510729,1468.9159369657,1486.81762960994,"C2","VR","2R0V","2"
9,"P2_Trial9_raw.csv",622,14.2974276527331,1572.10118116533,1583.75096527828,"C2","VR","2R0V","2"
10,"P2_Trial10_raw.csv",837,10.4384707287933,1474.80539928696,1886.56970273484,"C3","VR","2R0V","1"
11,"P2_Trial11_raw.csv",1163,11.4316423043852,1692.29642166081,1519.23460756678,"C3","VR","2R0V","1"
12,"P2_Trial12_raw.csv",653,11.114854517611,1473.570795367,1699.20821529976,"C3","VR","2R0V","1"
13,"P2_Trial13_raw.csv",567,12.7848324514991,1576.26736783326,1681.95156757005,"C4","AR","1R1V","2"
14,"P2_Trial14_raw.csv",781,14.0192061459667,1603.50888179954,1400.7122768214,"C4","AR","1R1V","2"
15,"P2_Trial15_raw.csv",440,14.6954545454545,1616.96095889626,1541.94498114274,"C4","AR","1R1V","2"
16,"P2_Trial16_raw.csv",483,13.2650103519669,1610.26013770099,1585.5166593197,"C5","AR","0R2V","1"
17,"P2_Trial17_raw.csv",1033,15.2604065827687,1488.14375742376,1351.17264457518,"C5","AR","0R2V","1"
18,"P2_Trial18_raw.csv",433,14.2332563510393,1543.35838582644,1430.71202753285,"C5","AR","0R2V","1"
19,"P2_Trial19_raw.csv",540,13.9833333333333,1600.29025033798,1475.20806092122,"C6","AR","2R0V","2"
20,"P2_Trial20_raw.csv",787,14.9224904701398,1478.41905415014,1432.24255645188,"C6","AR","2R0V","2"
21,"P2_Trial21_raw.csv",600,10.79,1574.7707499406,1564.82338516988,"C6","AR","2R0V","2"
22,"P2_Trial22_raw.csv",624,13.1955128205128,1592.18056889091,1591.96804578481,"C7","AR","2R0V","0"
23,"P2_Trial23_raw.csv",1217,14.6754313886606,1539.7225077485,1296.12491489833,"C7","AR","2R0V","0"
24,"P2_Trial24_raw.csv",597,11.142378559464,1649.52322447238,1805.78857218187,"C7","AR","2R0V","0"
25,"P2_Trial25_raw.csv",529,12.9621928166352,1541.98602550159,1631.62274406705,"C8","AR","1R1V","0"
26,"P2_Trial26_raw.csv",948,12.3270042194093,1521.98637971026,1386.64135632554,"C8","AR","1R1V","0"
27,"P2_Trial27_raw.csv",501,12.1377245508982,1545.59056794989,1748.76113141014,"C8","AR","1R1V","0"
28,"P2_Trial28_raw.csv",472,14.1165254237288,1536.19293663051,1608.10056326749,"C9","AR","0R2V","2"
29,"P2_Trial29_raw.csv",762,12.8700787401575,1525.22725340772,1357.97657973893,"C9","AR","0R2V","2"
30,"P2_Trial30_raw.csv",591,13.6937394247039,1501.71398276801,1505.92031950013,"C9","AR","0R2V","2"
31,"P2_Trial31_raw.csv",812,10.3374384236453,1725.07362257999,1697.26263317513,"C10","AR","0R2V","0"
32,"P2_Trial32_raw.csv",1499,13.0166777851902,1590.09520601783,1373.97504938728,"C10","AR","0R2V","0"
33,"P2_Trial33_raw.csv",556,11.3741007194245,1560.5583863024,1621.35041758481,"C10","AR","0R2V","0"
34,"P2_Trial34_raw.csv",663,10.7058823529412,1619.36920730356,1748.86070772487,"C11","AR","2R0V","1"
35,"P2_Trial35_raw.csv",1148,12.8719512195123,1618.94477886059,1298.09766587294,"C11","AR","2R0V","1"
36,"P2_Trial36_raw.csv",641,12.6396255850234,1492.55658923123,1546.57530921485,"C11","AR","2R0V","1"
37,"P2_Trial37_raw.csv",563,13.5044404973357,1456.98018858211,1616.14714258501,"C12","AR","1R1V","1"
38,"P2_Trial38_raw.csv",1099,13.8544131028208,1451.26618895628,1290.61708459843,"C12","AR","1R1V","1"
39,"P2_Trial39_raw.csv",539,14.6586270871985,1603.36114116023,1562.24786946361,"C12","AR","1R1V","1"
