"Participant","Block","ConditionID","Mode","Composition","Collider","AvgDist_T1","AvgDist_T3","mean_A_T1","mean_A_T3","mean_B_T1","mean_B_T3","AminusB_T1","AminusB_T3","DeltaAvgDist","DeltaA","DeltaB","DeltaAminusB"
"P1.2",1,"C5","AR","0R2V","1",1956.85601957448,1588.74435265022,1622.59935801017,1459.29659951992,2291.11268113879,1718.19210578052,-668.513323128625,-258.895506260597,-368.111666924257,-163.302758490243,-572.920575358271,409.617816868028
"P1.2",2,"C7","AR","2R0V","0",1487.94161613994,1530.4109551733,1449.63610443538,1527.30953211033,1526.24712784449,1533.51237823628,-76.6110234091161,-6.20284612595447,42.4693390333694,77.6734276749501,7.26525039178841,70.4081772831616
"P1.2",3,"C8","AR","1R1V","0",1540.99320400795,1515.07727590243,1468.25733822416,1531.10544005818,1613.72906979173,1499.04911174668,-145.471731567569,32.056328311503,-25.9159281055188,62.8481018340169,-114.679958045055,177.528059879072
"P1.2",4,"C4","AR","1R1V","2",1537.38821672743,1605.75817782793,1549.45497896241,1602.27585487872,1525.32145449245,1609.24050077713,24.133524469959,-6.96464589840957,68.3699611005006,52.8208759163165,83.919046284685,-31.0981703683685
"P1.2",5,"C10","AR","0R2V","0",1579.20582239877,1527.25614033868,1632.76901070701,1517.9709204549,1525.64263409052,1536.54136022246,107.126376616497,-18.5704397675624,-51.9496820600853,-114.798090252115,10.8987261319444,-125.69681638406
"P1.2",6,"C6","AR","2R0V","2",1462.81300526453,1506.79262479457,1643.04976710275,1408.70075798938,1282.5762434263,1604.88449159975,360.473523676448,-196.183733610368,43.9796195300414,-234.349009113367,322.30824817345,-556.657257286817
"P1.2",7,"C11","AR","2R0V","1",1560.96660771552,1636.72447666737,1646.95329746803,1659.07336540875,1474.97991796302,1614.37558792599,171.973379505006,44.6977774827608,75.7578689518486,12.1200679407261,139.395669962971,-127.275602022245
"P1.2",8,"C12","AR","1R1V","1",1677.75123812517,1481.87962519692,1447.25216967876,1399.99889634291,1908.25030657159,1563.76035405093,-460.998136892825,-163.761457708018,-195.871612928256,-47.2532733358526,-344.489952520659,297.236679184807
"P1.2",9,"C9","AR","0R2V","2",1512.07154787111,1514.57034739751,1464.1140302525,1429.11901680739,1560.02906548972,1600.02167798763,-95.915035237223,-170.902661180234,2.49879952640003,-34.9950134451053,39.9926124979054,-74.9876259430107
"P1.2",10,"C2","VR","2R0V","2",1622.81113752105,1608.66817845619,1680.59030718019,1415.34045613426,1565.03196786191,1801.99590077811,115.558339318288,-386.655444643854,-14.1429590648636,-265.249851045934,236.963932916207,-502.213783962142
"P1.2",11,"C1","VR","2R0V","0",1629.90486670297,1614.85494088808,1511.78168617998,1559.90273304802,1748.02804722595,1669.80714872814,-236.246361045972,-109.904415680119,-15.0499258148864,48.1210468680399,-78.2208984978129,126.341945365853
"P1.2",12,"C3","VR","2R0V","1",1551.00429546545,1643.84627837178,1562.08799972952,1575.82271744489,1539.92059120138,1711.86983929867,22.16740852814,-136.047121853778,92.8419829063378,13.7347177153786,171.949248097297,-158.214530381918
"P2",11,"C11","AR","2R0V","1",1405.17363979135,1595.44688880358,1312.35595559107,1581.14410540118,1497.99132399163,1609.74967220598,-185.635368400563,-28.6055668048014,190.273249012231,268.788149810111,111.75834821435,157.029801595761
"P2",10,"C10","AR","0R2V","0",1477.86678328782,1680.6875510109,1468.9159369657,1474.80539928696,1486.81762960994,1886.56970273484,-17.9016926442439,-411.764303447881,202.82076772308,5.88946232126204,399.752073124899,-393.862610803637
"P2",12,"C12","AR","1R1V","1",1605.76551461379,1629.10946770166,1692.29642166081,1576.26736783326,1519.23460756678,1681.95156757005,173.06181409403,-105.684199736789,23.3439530878677,-116.029053827542,162.716960003277,-278.746013830819
"P2",4,"C4","AR","1R1V","2",1502.11057931047,1597.88839851035,1603.50888179954,1610.26013770099,1400.7122768214,1585.5166593197,202.796604978149,24.7434783812914,95.7778191998759,6.75125590144717,184.804382498305,-178.053126596858
"P2",1,"C1","VR","2R0V","0",1419.65820099947,1537.7491556296,1488.14375742376,1600.29025033798,1351.17264457518,1475.20806092122,136.971112848575,125.082189416762,118.090954630126,112.14649291422,124.035416346033,-11.8889234318131
"P2",6,"C6","AR","2R0V","2",1455.33080530101,1592.07430733786,1478.41905415014,1592.18056889091,1432.24255645188,1591.96804578481,46.1764976982604,0.212523106098615,136.743502036848,113.761514740768,159.725489332929,-45.9639745921618
"P2",2,"C2","VR","2R0V","2",1417.92371132342,1586.80438478432,1539.7225077485,1541.98602550159,1296.12491489833,1631.62274406705,243.597592850169,-89.6367185654537,168.880673460902,2.26351775309058,335.497829168714,-333.234311415623
"P2",3,"C3","VR","2R0V","1",1454.3138680179,1572.146749949,1521.98637971026,1536.19293663051,1386.64135632554,1608.10056326749,135.345023384714,-71.9076266369725,117.832881931099,14.2065569202555,221.459206941942,-207.252650021687
"P2",9,"C9","AR","0R2V","2",1441.60191657332,1711.16812787756,1525.22725340772,1725.07362257999,1357.97657973893,1697.26263317513,167.250673668793,27.8109894048587,269.566211304233,199.846369172266,339.2860534362,-139.439684263934
"P2",5,"C5","AR","0R2V","1",1482.03512770256,NA,1590.09520601783,NA,1373.97504938728,NA,216.120156630548,NA,NA,NA,NA,NA
"P2",7,"C7","AR","2R0V","0",NA,1536.56366558356,NA,1456.98018858211,NA,1616.14714258501,NA,-159.166954002898,NA,NA,NA,NA
"P2",8,"C8","AR","1R1V","0",1370.94163677735,NA,1451.26618895628,NA,1290.61708459843,NA,160.649104357844,NA,NA,NA,NA,NA
