"Participant","TrialNum","Block","TrialInBlock","ConditionID","Mode","Composition","Collider","n_frames","duration_sec","mean_visible","max_visible","mean_A","mean_B","AvgDist","AminusB"
"P1.2",1,1,1,"C5","AR","0R2V","1",1070,10.69,8.11869158878505,19,1622.59935801017,2291.11268113879,1956.85601957448,-668.513323128625
"P1.2",2,1,2,"C5","AR","0R2V","1",838,8.37,11.5644391408115,19,1355.94071017873,1305.5295026613,1330.73510642002,50.4112075174339
"P1.2",3,1,3,"C5","AR","0R2V","1",658,6.57,12.6945288753799,19,1459.29659951992,1718.19210578052,1588.74435265022,-258.895506260597
"P1.2",4,2,1,"C7","AR","2R0V","0",525,5.24,15.2533333333333,19,1449.63610443538,1526.24712784449,1487.94161613994,-76.6110234091161
"P1.2",5,2,2,"C7","AR","2R0V","0",872,8.71,12.269495412844,19,1360.29372030974,1166.09558980151,1263.19465505563,194.198130508235
"P1.2",6,2,3,"C7","AR","2R0V","0",542,5.41,13.9981549815498,19,1527.30953211033,1533.51237823628,1530.4109551733,-6.20284612595447
"P1.2",7,3,1,"C8","AR","1R1V","0",539,5.38,13.1948051948052,19,1468.25733822416,1613.72906979173,1540.99320400795,-145.471731567569
"P1.2",8,3,2,"C8","AR","1R1V","0",946,9.45,10.0084566596194,19,1353.47695719841,1375.48977622979,1364.4833667141,-22.0128190313822
"P1.2",9,3,3,"C8","AR","1R1V","0",538,5.37,14.228624535316,19,1531.10544005818,1499.04911174668,1515.07727590243,32.056328311503
"P1.2",10,4,1,"C4","AR","1R1V","2",539,5.38,13.2690166975881,19,1549.45497896241,1525.32145449245,1537.38821672743,24.133524469959
"P1.2",11,4,2,"C4","AR","1R1V","2",814,8.13,11.4066339066339,19,1347.74714524999,1214.73985323263,1281.24349924131,133.007292017357
"P1.2",12,4,3,"C4","AR","1R1V","2",618,6.17,11.7216828478964,19,1602.27585487872,1609.24050077713,1605.75817782793,-6.96464589840957
"P1.2",13,5,1,"C10","AR","0R2V","0",554,5.53,13.0559566787004,19,1632.76901070701,1525.64263409052,1579.20582239877,107.126376616497
"P1.2",14,5,2,"C10","AR","0R2V","0",938,9.37,10.3230277185501,19,1336.62813924711,1326.11355308595,1331.37084616653,10.51458616116
"P1.2",15,5,3,"C10","AR","0R2V","0",563,5.62,13.9751332149201,19,1517.9709204549,1536.54136022246,1527.25614033868,-18.5704397675624
"P1.2",16,6,1,"C6","AR","2R0V","2",463,4.62,14.0021598272138,19,1643.04976710275,1282.5762434263,1462.81300526453,360.473523676448
"P1.2",17,6,2,"C6","AR","2R0V","2",1036,10.35,11.703667953668,19,1523.91692315912,1241.61161627051,1382.76426971481,282.305306888615
"P1.2",18,6,3,"C6","AR","2R0V","2",684,6.83,12.7836257309942,19,1408.70075798938,1604.88449159975,1506.79262479457,-196.183733610368
"P1.2",19,7,1,"C11","AR","2R0V","1",629,6.28,13.1891891891892,19,1646.95329746803,1474.97991796302,1560.96660771552,171.973379505006
"P1.2",20,7,2,"C11","AR","2R0V","1",1103,11.02,8.93563009972801,19,1286.36313057396,1279.80231302984,1283.0827218019,6.56081754411889
"P1.2",21,7,3,"C11","AR","2R0V","1",660,6.59,11.7772727272727,19,1659.07336540875,1614.37558792599,1636.72447666737,44.6977774827608
"P1.2",23,8,1,"C12","AR","1R1V","1",821,8.2,9.80389768574909,19,1447.25216967876,1908.25030657159,1677.75123812517,-460.998136892825
"P1.2",24,8,2,"C12","AR","1R1V","1",766,7.65,14.378590078329,19,1228.25368977658,1543.67483817866,1385.96426397762,-315.421148402083
"P1.2",25,8,3,"C12","AR","1R1V","1",583,5.82,13.9365351629503,19,1399.99889634291,1563.76035405093,1481.87962519692,-163.761457708018
"P1.2",26,9,1,"C9","AR","0R2V","2",551,5.5,15.9201451905626,19,1464.1140302525,1560.02906548972,1512.07154787111,-95.915035237223
"P1.2",27,9,2,"C9","AR","0R2V","2",946,9.45,10.4471458773784,19,1312.06853812433,1375.24881339844,1343.65867576138,-63.1802752741146
"P1.2",28,9,3,"C9","AR","0R2V","2",612,6.11,13.8088235294118,19,1429.11901680739,1600.02167798763,1514.57034739751,-170.902661180234
"P1.2",29,10,1,"C2","VR","2R0V","2",706,7.05,11.6940509915014,19,1680.59030718019,1565.03196786191,1622.81113752105,115.558339318288
"P1.2",30,10,2,"C2","VR","2R0V","2",1194,11.93,9.97571189279732,19,1475.45650663213,1187.17870926129,1331.31760794671,288.277797370838
"P1.2",31,10,3,"C2","VR","2R0V","2",748,7.47,10.9505347593583,19,1415.34045613426,1801.99590077811,1608.66817845619,-386.655444643854
"P1.2",32,11,1,"C1","VR","2R0V","0",724,7.23,13.7002762430939,19,1511.78168617998,1748.02804722595,1629.90486670297,-236.246361045972
"P1.2",33,11,2,"C1","VR","2R0V","0",766,7.65,10.5548302872063,19,1259.05518455142,1383.63786747082,1321.34652601112,-124.582682919393
"P1.2",34,11,3,"C1","VR","2R0V","0",583,5.82,12.4082332761578,19,1559.90273304802,1669.80714872814,1614.85494088808,-109.904415680119
