"Participant","Block","ConditionID","Mode","Composition","Collider","AvgDist_T1","AvgDist_T3","AminusB_T1","AminusB_T3","DeltaAvgDist","DeltaAminusB"
"P1.2",1,"C5","AR","0R2V","1",1956.85601957448,1588.74435265022,-668.513323128625,-258.895506260597,-368.111666924257,409.617816868028
"P1.2",2,"C7","AR","2R0V","0",1487.94161613994,1530.4109551733,-76.6110234091161,-6.20284612595447,42.4693390333694,70.4081772831616
"P1.2",3,"C8","AR","1R1V","0",1540.99320400795,1515.07727590243,-145.471731567569,32.056328311503,-25.9159281055188,177.528059879072
"P1.2",4,"C4","AR","1R1V","2",1537.38821672743,1605.75817782793,24.133524469959,-6.96464589840957,68.3699611005006,-31.0981703683685
"P1.2",5,"C10","AR","0R2V","0",1579.20582239877,1527.25614033868,107.126376616497,-18.5704397675624,-51.9496820600853,-125.69681638406
"P1.2",6,"C6","AR","2R0V","2",1462.81300526453,1506.79262479457,360.473523676448,-196.183733610368,43.9796195300414,-556.657257286817
"P1.2",7,"C11","AR","2R0V","1",1560.96660771552,1636.72447666737,171.973379505006,44.6977774827608,75.7578689518486,-127.275602022245
"P1.2",8,"C12","AR","1R1V","1",1677.75123812517,1481.87962519692,-460.998136892825,-163.761457708018,-195.871612928256,297.236679184807
"P1.2",9,"C9","AR","0R2V","2",1512.07154787111,1514.57034739751,-95.915035237223,-170.902661180234,2.49879952640003,-74.9876259430107
"P1.2",10,"C2","VR","2R0V","2",1622.81113752105,1608.66817845619,115.558339318288,-386.655444643854,-14.1429590648636,-502.213783962142
"P1.2",11,"C1","VR","2R0V","0",1629.90486670297,1614.85494088808,-236.246361045972,-109.904415680119,-15.0499258148864,126.341945365853
"P1.2",12,"C3","VR","2R0V","1",1551.00429546545,1643.84627837178,22.16740852814,-136.047121853778,92.8419829063378,-158.214530381918
"P2",11,"C11","AR","2R0V","1",1405.17363979135,1595.44688880358,-185.635368400563,-28.6055668048014,190.273249012231,157.029801595761
"P2",10,"C10","AR","0R2V","0",1477.86678328782,1680.6875510109,-17.9016926442439,-411.764303447881,202.82076772308,-393.862610803637
"P2",12,"C12","AR","1R1V","1",1605.76551461379,1629.10946770166,173.06181409403,-105.684199736789,23.3439530878677,-278.746013830819
"P2",4,"C4","AR","1R1V","2",1502.11057931047,1597.88839851035,202.796604978149,24.7434783812914,95.7778191998759,-178.053126596858
"P2",1,"C1","VR","2R0V","0",1419.65820099947,1537.7491556296,136.971112848575,125.082189416762,118.090954630126,-11.8889234318131
"P2",6,"C6","AR","2R0V","2",1455.33080530101,1592.07430733786,46.1764976982604,0.212523106098615,136.743502036848,-45.9639745921618
"P2",2,"C2","VR","2R0V","2",1417.92371132342,1586.80438478432,243.597592850169,-89.6367185654537,168.880673460902,-333.234311415623
"P2",3,"C3","VR","2R0V","1",1454.3138680179,1572.146749949,135.345023384714,-71.9076266369725,117.832881931099,-207.252650021687
"P2",9,"C9","AR","0R2V","2",1441.60191657332,1711.16812787756,167.250673668793,27.8109894048587,269.566211304233,-139.439684263934
"P2",5,"C5","AR","0R2V","1",1482.03512770256,NA,216.120156630548,NA,NA,NA
"P2",7,"C7","AR","2R0V","0",NA,1536.56366558356,NA,-159.166954002898,NA,NA
"P2",8,"C8","AR","1R1V","0",1370.94163677735,NA,160.649104357844,NA,NA,NA
