"Block","Mode","Composition","Collider","Participant","n_trials","mean_A","sd_A","mean_B","sd_B","mean_AminusB","sd_AminusB"
"c1","AR","0R2V","1","P1.2",3,1479.27888923627,134.44767585404,1771.6114298602,494.958350331921,-292.332540623929,360.626741439712
"c10","VR","2R0V","2","P1.2",3,1523.79575664886,139.075099097961,1518.06885930044,310.087398841803,5.72689734842379,350.615073161438
"c11","VR","2R0V","0","P1.2",3,1443.57986792647,161.604232212266,1600.49102114164,191.829598689009,-156.911153215161,69.0971727602173
"c12","VR","2R0V","1","P1.2",3,1558.19037721179,19.869954446845,1512.80317065981,213.918366740892,45.3872065519742,194.088750329548
"c2","AR","2R0V","0","P1.2",3,1445.74645228515,83.5758182325452,1408.61836529409,210.062296570052,37.1280869910545,140.508280129503
"c3","AR","1R1V","0","P1.2",3,1450.94657849358,90.07061830921,1496.08931925606,119.147222073844,-45.1427407624823,90.9961426136953
"c4","AR","1R1V","2","P1.2",3,1499.82599303037,134.326070402581,1449.76726950074,207.819672746782,50.0587235296356,73.4991347614833
"c5","AR","0R2V","0","P1.2",3,1495.78935680301,149.311319938544,1462.76584913298,118.469755925375,33.0235076700316,65.8020597921634
"c6","AR","2R0V","2","P1.2",3,1525.22248275042,117.179959389347,1376.35745043219,198.96728770857,148.865032318232,301.366148863114
"c7","AR","2R0V","1","P1.2",3,1530.79659781691,211.772316281027,1456.38593963962,168.059873530544,74.4106581772949,86.6168019092817
"c8","AR","1R1V","1","P1.2",3,1358.50158526608,115.245840141072,1671.89516626706,204.93577347121,-313.393581000976,148.628712351879
"c9","AR","0R2V","2","P1.2",3,1401.7671950614,79.6275676744095,1511.7665189586,119.906902270715,-109.999323897191,55.2250259992669
