"Participant","ConditionKey","Mode","Composition","Collider","n_trials","mean_A","sd_A","mean_B","sd_B","mean_AminusB","sd_AminusB"
"P1.2","AR_2R0V_C0","AR","2R0V","0",2,1382.48955123955,99.1838821440651,1763.62534234222,375.663231379065,-381.135791102675,276.479349235
"P2","AR_2R0V_C0","AR","2R0V","0",3,1593.80876703727,54.9184633813826,1564.62717762167,255.929488712891,29.1815894155955,201.499374466488
"P1.2","AR_2R0V_C1","AR","2R0V","1",3,1551.16001814291,64.2747781566034,1490.75800084766,67.6444344323667,60.4020172952483,58.8708842928472
"P2","AR_2R0V_C1","AR","2R0V","1",3,1576.95685846513,73.0930853086794,1531.17789427089,225.775641434407,45.7789641942397,241.186442420014
"P1.2","AR_2R0V_C2","AR","2R0V","2",3,1547.2540936504,61.1513285840195,1455.80044380925,119.169420511672,91.4536498411497,59.0390434644133
"P2","AR_2R0V_C2","AR","2R0V","2",3,1551.16001814291,64.2747781566034,1490.75800084766,67.6444344323667,60.4020172952483,58.8708842928472
"P1.2","AR_1R1V_C0","AR","1R1V","0",3,1540.72040784407,62.3486579508819,1560.1060890314,64.7872047842504,-19.3856811873318,8.57474828612078
"P2","AR_1R1V_C0","AR","1R1V","0",3,1536.52099105391,12.7157137726802,1589.00841060091,184.782761477912,-52.4874195469985,172.288285868252
"P1.2","AR_1R1V_C1","AR","1R1V","1",3,1577.07725257416,62.7502590541522,1577.84541038242,259.052624195505,-0.768157808255637,214.233070805011
"P2","AR_1R1V_C1","AR","1R1V","1",3,1503.86917289954,86.2099255261303,1489.67069888235,174.479336685958,14.1984740171906,161.597903906406
"P1.2","AR_1R1V_C2","AR","1R1V","2",3,1546.89087210492,125.926412809013,1701.67084186713,183.679929313848,-154.779969762204,298.782497183638
"P2","AR_1R1V_C2","AR","1R1V","2",3,1598.91240284302,20.7325300554189,1541.53627517806,140.620090832093,57.3761276649583,154.995080414684
"P1.2","AR_0R2V_C0","AR","0R2V","0",3,1598.91240284302,20.7325300554189,1541.53627517806,140.620090832093,57.3761276649583,154.995080414684
"P2","AR_0R2V_C0","AR","0R2V","0",3,1625.24240496674,87.7086651211433,1564.19603338241,169.05230901414,61.046371584335,141.416169249298
"P2","AR_0R2V_C1","AR","0R2V","1",3,1547.2540936504,61.1513285840195,1455.80044380925,119.169420511672,91.4536498411497,59.0390434644133
"P1.2","AR_0R2V_C2","AR","0R2V","2",3,1534.58996143022,11.8834579450823,1581.16768366772,182.556067769554,-46.5777222375046,170.673383035883
"P2","AR_0R2V_C2","AR","0R2V","2",3,1521.04472426875,17.6158941686732,1490.66582083551,125.757809225432,30.3789034332341,123.273181508619
"P1.2","VR_2R0V_C0","VR","2R0V","0",3,1590.0075998746,29.4055083757259,1581.39539156565,190.609856211438,8.61220830894656,182.960557846417
"P2","VR_2R0V_C0","VR","2R0V","0",2,1382.48955123955,99.1838821440651,1763.62534234222,375.663231379065,-381.135791102675,276.479349235
"P1.2","VR_2R0V_C1","VR","2R0V","1",3,1522.82718555798,85.1197032272885,1486.94003922427,167.200901550625,35.8871463337091,252.320579275459
"P2","VR_2R0V_C1","VR","2R0V","1",3,1546.89087210492,125.926412809013,1701.67084186713,183.679929313848,-154.779969762204,298.782497183638
"P1.2","VR_2R0V_C2","VR","2R0V","2",3,1584.00495291857,122.733433277468,1520.38651080473,170.104995612192,63.6184421138445,91.1647237479185
"P2","VR_2R0V_C2","VR","2R0V","2",3,1540.72040784407,62.3486579508819,1560.1060890314,64.7872047842504,-19.3856811873318,8.57474828612078
