"Participant","ConditionKey","n"
"P1.2","VR_2R0V_C0",3
"P1.2","VR_2R0V_C2",3
"P1.2","VR_2R0V_C1",3
"P1.2","AR_1R1V_C2",3
"P1.2","AR_2R0V_C2",3
"P1.2","AR_2R0V_C0",2
"P1.2","AR_1R1V_C0",3
"P1.2","AR_0R2V_C2",3
"P1.2","AR_0R2V_C0",3
"P1.2","AR_2R0V_C1",3
"P1.2","AR_1R1V_C1",3
"P2","VR_2R0V_C0",2
"P2","VR_2R0V_C2",3
"P2","VR_2R0V_C1",3
"P2","AR_1R1V_C2",3
"P2","AR_0R2V_C1",3
"P2","AR_2R0V_C2",3
"P2","AR_2R0V_C0",3
"P2","AR_1R1V_C0",3
"P2","AR_0R2V_C2",3
"P2","AR_0R2V_C0",3
"P2","AR_2R0V_C1",3
"P2","AR_1R1V_C1",3
