"Block","Mode","Composition","Collider","p_value","d","p_adj_BH","Measure"
"c1","AR","0R2V","1",0.204055212550188,-1.48526216721459,0.816220850200753,"AminusB"
"c2","AR","2R0V","0",0.95830867162754,0.0457479499891863,0.95830867162754,"AminusB"
"c3","AR","1R1V","0",0.952005593945945,0.0533094728712811,0.95830867162754,"AminusB"
"c4","AR","1R1V","2",0.945969615922525,-0.0603266754378572,0.95830867162754,"AminusB"
"c5","AR","0R2V","0",0.77718165015967,-0.254079922935824,0.95830867162754,"AminusB"
"c6","AR","2R0V","2",0.664149441092638,0.40742722936216,0.95830867162754,"AminusB"
"c7","AR","2R0V","1",0.314145775896949,1.04191847304296,0.90282878525598,"AminusB"
"c8","AR","1R1V","1",0.0614670859713873,-2.1101101304594,0.737605031656648,"AminusB"
"c9","AR","0R2V","2",0.177196093596753,-1.46970426735487,0.816220850200753,"AminusB"
"c10","VR","2R0V","2",0.912627934547085,0.101261856134001,0.95830867162754,"AminusB"
"c11","VR","2R0V","0",0.45141439262799,1.3244050247016,0.90282878525598,"AminusB"
"c12","VR","2R0V","1",0.393980142152825,0.794522459535872,0.90282878525598,"AminusB"
"c1","AR","0R2V","1",0.487539556179482,-0.650850610701972,0.835782096307683,"BoxA"
"c2","AR","2R0V","0",0.0719937531623309,-2.09381735719205,0.643223261867539,"BoxA"
"c3","AR","1R1V","0",0.240046263241428,-1.33042537648716,0.658061619724453,"BoxA"
"c4","AR","1R1V","2",0.329030809862226,-1.03099482394639,0.658061619724453,"BoxA"
"c5","AR","0R2V","0",0.280092030161025,-1.05721443631675,0.658061619724453,"BoxA"
"c6","AR","2R0V","2",0.758215527773756,-0.274456752937545,0.91653698596632,"BoxA"
"c7","AR","2R0V","1",0.91653698596632,-0.0923792118594923,0.91653698596632,"BoxA"
"c8","AR","1R1V","1",0.160805815466885,-1.42841092905126,0.643223261867539,"BoxA"
"c9","AR","0R2V","2",0.115815671888881,-2.06839951232593,0.643223261867539,"BoxA"
"c10","VR","2R0V","2",0.860691623218094,-0.157042514287011,0.91653698596632,"BoxA"
"c11","VR","2R0V","0",0.637023503273874,0.424712053194289,0.91653698596632,"BoxA"
"c12","VR","2R0V","1",0.891484170987934,0.12534797403852,0.91653698596632,"BoxA"
"c1","AR","0R2V","1",0.384958369185069,0.877277921620119,0.753728946724946,"BoxB"
"c2","AR","2R0V","0",0.461870046294695,-0.666357365629772,0.753728946724946,"BoxB"
"c3","AR","1R1V","0",0.511166091012441,-0.597672608122821,0.753728946724946,"BoxB"
"c4","AR","1R1V","2",0.56529671004371,-0.517211564465087,0.753728946724946,"BoxB"
"c5","AR","0R2V","0",0.447870078099546,-0.694875904823121,0.753728946724946,"BoxB"
"c6","AR","2R0V","2",0.428953875573713,-0.769857127779391,0.753728946724946,"BoxB"
"c7","AR","2R0V","1",0.163676811862953,-1.39332198399393,0.753728946724946,"BoxB"
"c8","AR","1R1V","1",0.307532006804937,0.957474772757693,0.753728946724946,"BoxB"
"c9","AR","0R2V","2",0.843709952689126,0.171735826788372,0.843709952689126,"BoxB"
"c10","VR","2R0V","2",0.83804828721261,-0.187666599843479,0.843709952689126,"BoxB"
"c11","VR","2R0V","0",0.650185332064286,-0.609775069582299,0.780222398477143,"BoxB"
"c12","VR","2R0V","1",0.311858316815939,-0.947306988632686,0.753728946724946,"BoxB"
