"Block_from","Block_to","p_value","d","p_adj_BH","Participant","Measure"
"c1","c2",0.250300213891133,1.20384614487231,0.550660470560492,"P1.2","AminusB"
"c10","c11",0.507927821441122,-0.643624569085167,0.766060580262166,"P1.2","AminusB"
"c11","c12",0.205515079714903,1.38865638360692,0.550660470560492,"P1.2","AminusB"
"c2","c3",0.450010147751483,-0.695031554175812,0.766060580262166,"P1.2","AminusB"
"c3","c4",0.234418956977201,1.15100485358286,0.550660470560492,"P1.2","AminusB"
"c4","c5",0.779936572998592,-0.244208531855172,0.779936572998592,"P1.2","AminusB"
"c5","c6",0.577012778420418,0.531094151649044,0.766060580262166,"P1.2","AminusB"
"c6","c7",0.715703174793693,-0.335795899510637,0.779936572998592,"P1.2","AminusB"
"c7","c8",0.0262528755272859,-3.18811011601631,0.288781630800145,"P1.2","AminusB"
"c8","c9",0.128804667798283,1.81413029845895,0.550660470560492,"P1.2","AminusB"
"c9","c10",0.626776838396317,0.461099556901221,0.766060580262166,"P1.2","AminusB"
"c1","c2",0.735708286121832,-0.299557428410915,0.973915347345029,"P1.2","BoxA"
"c10","c11",0.550913494320192,-0.532072897647218,0.973915347345029,"P1.2","BoxA"
"c11","c12",0.343934502225491,0.995470720435606,0.973915347345029,"P1.2","BoxA"
"c2","c3",0.94510309597934,0.0598514174591031,0.973915347345029,"P1.2","BoxA"
"c3","c4",0.632042406136127,0.427418769680069,0.973915347345029,"P1.2","BoxA"
"c4","c5",0.973915347345029,-0.0284237161339443,0.973915347345029,"P1.2","BoxA"
"c5","c6",0.802237589292173,0.219305393516129,0.973915347345029,"P1.2","BoxA"
"c6","c7",0.970597077233157,0.0325702598002006,0.973915347345029,"P1.2","BoxA"
"c7","c8",0.301553190664533,-1.0106268648272,0.973915347345029,"P1.2","BoxA"
"c8","c9",0.624355696910617,0.43680187693259,0.973915347345029,"P1.2","BoxA"
"c9","c10",0.274047662228849,1.0768579294356,0.973915347345029,"P1.2","BoxA"
"c1","c2",0.335152673433544,-0.954732739758261,0.927088961135156,"P1.2","BoxB"
"c10","c11",0.71910541279881,0.319676176201729,0.927088961135156,"P1.2","BoxB"
"c11","c12",0.625373482029497,-0.431589099610013,0.927088961135156,"P1.2","BoxB"
"c2","c3",0.572773022268824,0.512226218265687,0.927088961135156,"P1.2","BoxB"
"c3","c4",0.758527331837854,-0.273465964927221,0.927088961135156,"P1.2","BoxB"
"c4","c5",0.930643335612505,0.0768460260254047,0.976173518391625,"P1.2","BoxB"
"c5","c6",0.560716769840409,-0.527709775511407,0.927088961135156,"P1.2","BoxB"
"c6","c7",0.623509895037595,0.434552223367632,0.927088961135156,"P1.2","BoxB"
"c7","c8",0.234373543476716,1.14995271368326,0.927088961135156,"P1.2","BoxB"
"c8","c9",0.321795464288453,-0.953752320413894,0.927088961135156,"P1.2","BoxB"
"c9","c10",0.976173518391625,0.0268085367923302,0.976173518391625,"P1.2","BoxB"
"c1","c2",0.651916299920402,-0.419420807742384,0.896384912390553,"P2","AminusB"
"c10","c11",0.315265827640957,-2.26406695498903,0.896384912390553,"P2","AminusB"
"c11","c12",0.462561268753082,0.776420260052718,0.896384912390553,"P2","AminusB"
"c2","c3",0.622558419192022,-0.435652471541979,0.896384912390553,"P2","AminusB"
"c3","c4",0.458182402949778,0.670431275957444,0.896384912390553,"P2","AminusB"
"c4","c5",0.97729203447982,0.024738593366964,0.994695713071656,"P2","AminusB"
"c5","c6",0.994695713071656,-0.00594888798186002,0.994695713071656,"P2","AminusB"
"c6","c7",0.337905986463707,-0.999297839107062,0.896384912390553,"P2","AminusB"
"c7","c8",0.450797377984581,0.703512606728938,0.896384912390553,"P2","AminusB"
"c8","c9",0.897433510980994,0.112583981548539,0.994695713071656,"P2","AminusB"
"c9","c10",0.557047262178119,-0.569532688800881,0.896384912390553,"P2","AminusB"
"c1","c2",0.382702878026119,0.801030045381838,0.701621943047885,"P2","BoxA"
"c10","c11",0.218891907930887,-2.06512138773672,0.60195274680994,"P2","BoxA"
"c11","c12",0.211031429324272,1.39690880363479,0.60195274680994,"P2","BoxA"
"c2","c3",0.208155575885965,-1.43720483141985,0.60195274680994,"P2","BoxA"
"c3","c4",0.0171008450694325,3.62787620138,0.188109295763757,"P2","BoxA"
"c4","c5",0.658616357436103,0.413158871298198,0.80497554797746,"P2","BoxA"
"c5","c6",0.308828967620343,-0.963488878338073,0.679423728764754,"P2","BoxA"
"c6","c7",0.961601468922234,-0.0427035166973061,0.961601468922234,"P2","BoxA"
"c7","c8",0.654053955593048,-0.398677222631882,0.80497554797746,"P2","BoxA"
"c8","c9",0.76527401077535,0.276048818194473,0.841801411852886,"P2","BoxA"
"c9","c10",0.644954487686102,0.429477511931596,0.80497554797746,"P2","BoxA"
"c1","c2",0.554763210948753,0.545152509519951,0.990707155403237,"P2","BoxB"
"c10","c11",0.582831656034395,0.911632773410914,0.990707155403237,"P2","BoxB"
"c11","c12",0.857028129475208,-0.234950762817652,0.990707155403237,"P2","BoxB"
"c2","c3",0.900642868548397,0.109230479209675,0.990707155403237,"P2","BoxB"
"c3","c4",0.742340316135806,-0.289124000495451,0.990707155403237,"P2","BoxB"
"c4","c5",0.867289230580091,0.145733681135659,0.990707155403237,"P2","BoxB"
"c5","c6",0.541618814405552,-0.570381064714227,0.990707155403237,"P2","BoxB"
"c6","c7",0.175561573972807,1.52383794958078,0.990707155403237,"P2","BoxB"
"c7","c8",0.220996517532915,-1.18344126806738,0.990707155403237,"P2","BoxB"
"c8","c9",0.994025968345777,0.00654331113652464,0.994025968345777,"P2","BoxB"
"c9","c10",0.457840181438463,0.694187370011779,0.990707155403237,"P2","BoxB"
