"Participant","TrialNum","total_frames","frames_18plus","dt","mid_good_seconds","valid_trial"
"P1.2",1,1070,309,0.00999999999999979,1.98999999999996,FALSE
"P1.2",2,838,328,0.00999999999999979,2.87999999999994,FALSE
"P1.2",3,658,281,0.01,2.81,FALSE
"P1.2",4,525,282,0.01,2.6,FALSE
"P1.2",5,872,343,0.00999999999999979,2.46999999999995,FALSE
"P1.2",6,542,291,0.01,2.42,FALSE
"P1.2",7,539,245,0.01,2.45,FALSE
"P1.2",8,946,323,0.00999999999999979,3.17999999999993,FALSE
"P1.2",9,538,262,0.01,2.39,FALSE
"P1.2",10,539,267,0.01,2.38,FALSE
"P1.2",11,814,352,0.00999999999999979,2.68999999999994,FALSE
"P1.2",12,618,264,0.01,2.64,FALSE
"P1.2",13,554,238,0.01,2.21,FALSE
"P1.2",14,938,353,0.00999999999999979,3.13999999999993,FALSE
"P1.2",15,563,286,0.01,2.6,FALSE
"P1.2",16,463,278,0.01,1.72,FALSE
"P1.2",17,1036,350,0.00999999999999979,2.35999999999995,FALSE
"P1.2",18,684,321,0.01,2.85,FALSE
"P1.2",19,629,306,0.01,2.5,FALSE
"P1.2",20,1103,347,0.00999999999999979,2.59999999999994,FALSE
"P1.2",21,660,279,0.01,2.65,FALSE
"P1.2",23,821,288,0.00999999999999979,2.87999999999994,FALSE
"P1.2",24,766,398,0.00999999999999979,3.27999999999993,FALSE
"P1.2",25,583,295,0.01,2.73,FALSE
"P1.2",26,551,319,0.01,2.75,FALSE
"P1.2",27,946,333,0.00999999999999979,3.20999999999993,FALSE
"P1.2",28,612,317,0.01,2.86,FALSE
"P1.2",29,706,291,0.01,2.6,FALSE
"P1.2",30,1194,394,0.00999999999999979,2.65999999999994,FALSE
"P1.2",31,748,286,0.0099999999999999,2.85999999999997,FALSE
"P1.2",32,724,301,0.00999999999999998,3.00999999999999,FALSE
"P1.2",33,766,304,0.00999999999999979,3.03999999999994,FALSE
"P1.2",34,583,258,0.01,2.58,FALSE
"P1.2",35,571,288,0.01,2.6,FALSE
"P1.2",36,1029,316,0.00999999999999979,2.26999999999995,FALSE
"P1.2",37,686,0,0.01,0,FALSE
"P2",5,1110,565,0.00999999999999979,4.7299999999999,FALSE
"P2",6,1009,250,0.00999999999999979,2.17999999999995,FALSE
"P2",7,784,365,0.00999999999999979,3.16999999999993,FALSE
"P2",8,932,425,0.00999999999999979,4.08999999999991,FALSE
"P2",9,622,301,0.01,2.94,FALSE
"P2",10,837,285,0.00999999999999979,2.47999999999995,FALSE
"P2",11,1163,408,0.00999999999999979,3.60999999999992,FALSE
"P2",12,653,213,0.01,2.1,FALSE
"P2",13,567,231,0.01,2.31,FALSE
"P2",14,781,299,0.00999999999999979,2.51999999999995,FALSE
"P2",15,440,177,0.01,1.72,FALSE
"P2",16,483,199,0.01,1.83,FALSE
"P2",17,1033,605,0.00999999999999979,4.6099999999999,FALSE
"P2",18,433,210,0.01,1.81,FALSE
"P2",19,540,224,0.01,2.16,FALSE
"P2",20,787,398,0.00999999999999979,3.43999999999993,FALSE
"P2",21,600,0,0.01,0,FALSE
"P2",22,624,265,0.01,2.65,FALSE
"P2",23,1217,623,0.00999999999999979,4.4699999999999,FALSE
"P2",24,597,165,0.01,1.65,FALSE
"P2",25,529,190,0.01,1.9,FALSE
"P2",26,948,367,0.00999999999999979,3.15999999999993,FALSE
"P2",27,501,173,0.01,1.73,FALSE
"P2",28,472,210,0.01,2,FALSE
"P2",29,762,367,0.00999999999999979,2.96999999999994,FALSE
"P2",30,591,240,0.01,2.34,FALSE
"P2",31,812,266,0.00999999999999979,2.65999999999994,FALSE
"P2",32,1499,434,0.00999999999999979,3.12999999999993,FALSE
"P2",33,556,168,0.01,1.68,FALSE
"P2",37,563,213,0.01,2.13,FALSE
"P2",38,1099,611,0.00999999999999979,4.5599999999999,FALSE
"P2",39,539,227,0.01,2.24,FALSE
