"Participant","TrialNum","t0","t1","duration_sec","dt","mean_dist","mean_A","mean_B","mean_deltaAB","mean_markers","pct_frames_16plus","mid_start","mid_end","pct_mid_16plus"
"P1.2",1,0,10.69,10.69,0.00999999999999979,1956.85601957448,1622.59935801017,2291.11268113879,-668.513323128625,8.11869158878505,31.9626168224299,2.6725,8.0175,20.8411214953271
"P1.2",2,0,8.37,8.37,0.00999999999999979,1330.73510642002,1355.94071017873,1305.5295026613,50.4112075174337,11.5644391408115,47.255369928401,2.0925,6.2775,38.1861575178998
"P1.2",3,0,6.57,6.57,0.01,1588.74435265022,1459.29659951992,1718.19210578052,-258.895506260596,12.6945288753799,51.063829787234,1.6425,4.9275,46.048632218845
"P1.2",4,0,5.24,5.24,0.01,1487.94161613994,1449.63610443538,1526.24712784449,-76.6110234091167,15.2533333333333,63.047619047619,1.31,3.93,50.0952380952381
"P1.2",5,0,8.71,8.71,0.00999999999999979,1263.19465505563,1360.29372030974,1166.09558980151,194.198130508236,12.269495412844,45.6422018348624,2.1775,6.5325,31.1926605504587
"P1.2",6,0,5.41,5.41,0.01,1530.4109551733,1527.30953211033,1533.51237823628,-6.20284612595465,13.9981549815498,58.6715867158672,1.3525,4.0575,47.7859778597786
"P1.2",7,0,5.38,5.38,0.01,1540.99320400795,1468.25733822416,1613.72906979173,-145.471731567569,13.1948051948052,58.2560296846011,1.345,4.035,49.9072356215213
"P1.2",8,0,9.45,9.45,0.00999999999999979,1364.4833667141,1353.47695719841,1375.48977622979,-22.0128190313813,10.0084566596194,39.323467230444,2.3625,7.0875,37.1035940803383
"P1.2",9,0,5.37,5.37,0.01,1515.07727590243,1531.10544005818,1499.04911174668,32.0563283115029,14.228624535316,59.6654275092937,1.3425,4.0275,49.814126394052
"P1.2",10,0,5.38,5.38,0.01,1537.38821672743,1549.45497896241,1525.32145449245,24.1335244699585,13.2690166975881,58.8126159554731,1.345,4.035,49.721706864564
"P1.2",11,0,8.13,8.13,0.00999999999999979,1281.24349924131,1347.74714524999,1214.73985323263,133.007292017357,11.4066339066339,46.1916461916462,2.0325,6.0975,34.7665847665848
"P1.2",12,0,6.17,6.17,0.01,1605.75817782793,1602.27585487872,1609.24050077713,-6.96464589840951,11.7216828478964,48.3818770226537,1.5425,4.6275,47.0873786407767
"P1.2",13,0,5.53,5.53,0.01,1579.20582239877,1632.76901070701,1525.64263409052,107.126376616498,13.0559566787004,52.7075812274368,1.3825,4.1475,44.5848375451264
"P1.2",14,0,9.37,9.37,0.00999999999999979,1331.37084616653,1336.62813924711,1326.11355308595,10.5145861611605,10.3230277185501,40.5117270788913,2.3425,7.0275,35.501066098081
"P1.2",15,0,5.62,5.62,0.01,1527.25614033868,1517.9709204549,1536.54136022246,-18.5704397675631,13.9751332149201,56.8383658969805,1.405,4.215,48.6678507992895
"P1.2",16,0,4.62,4.62,0.01,1462.81300526453,1643.04976710275,1282.5762434263,360.473523676449,14.0021598272138,64.7948164146868,1.155,3.465,39.7408207343413
"P1.2",17,0,10.35,10.35,0.00999999999999979,1382.76426971481,1523.91692315912,1241.61161627051,282.305306888616,11.703667953668,40.8301158301158,2.5875,7.7625,27.992277992278
"P1.2",18,0,6.83,6.83,0.01,1506.79262479457,1408.70075798938,1604.88449159975,-196.183733610368,12.7836257309942,54.9707602339181,1.7075,5.1225,46.6374269005848
"P1.2",19,0,6.28,6.28,0.01,1560.96660771553,1646.95329746803,1474.97991796302,171.973379505006,13.1891891891892,52.3052464228935,1.57,4.71,41.335453100159
"P1.2",20,0,11.02,11.02,0.00999999999999979,1283.0827218019,1286.36313057396,1279.80231302984,6.56081754411809,8.93563009972801,35.8114233907525,2.755,8.265,25.3853127833182
"P1.2",21,0,6.59,6.59,0.01,1636.72447666737,1659.07336540875,1614.37558792599,44.6977774827606,11.7772727272727,48.9393939393939,1.6475,4.9425,45.4545454545455
"P1.2",23,0,8.2,8.2,0.00999999999999979,1677.75123812517,1447.25216967876,1908.25030657159,-460.998136892825,9.80389768574909,39.5858708891596,2.05,6.15,39.5858708891596
"P1.2",24,0,7.65,7.65,0.00999999999999979,1385.96426397762,1228.25368977658,1543.67483817866,-315.421148402083,14.378590078329,67.8851174934726,1.9125,5.7375,49.3472584856397
"P1.2",25,0,5.82,5.82,0.01,1481.87962519692,1399.99889634291,1563.76035405093,-163.761457708018,13.9365351629503,59.3481989708405,1.455,4.365,49.9142367066895
"P1.2",26,0,5.5,5.5,0.01,1512.07154787111,1464.1140302525,1560.02906548972,-95.9150352372231,15.9201451905626,65.6987295825771,1.375,4.125,49.9092558983666
