"Participant","cBlock","Mode","Composition","Collider","mean_A","mean_B","mean_AB"
"P1.2",NA,"AR","2R0V","0",1382.48955123955,1763.62534234222,-381.135791102675
"P1.2",NA,"AR","2R0V","1",1551.16001814291,1490.75800084766,60.4020172952483
"P1.2",NA,"AR","2R0V","2",1547.2540936504,1455.80044380925,91.4536498411497
"P1.2",NA,"AR","1R1V","0",1540.72040784407,1560.1060890314,-19.3856811873318
"P1.2",NA,"AR","1R1V","1",1577.07725257416,1577.84541038242,-0.768157808255637
"P1.2",NA,"AR","1R1V","2",1546.89087210492,1701.67084186713,-154.779969762204
"P1.2",NA,"AR","0R2V","0",1598.91240284302,1541.53627517806,57.3761276649583
"P1.2",NA,"AR","0R2V","2",1534.58996143022,1581.16768366772,-46.5777222375046
"P1.2",NA,"VR","2R0V","0",1590.0075998746,1581.39539156565,8.61220830894656
"P1.2",NA,"VR","2R0V","1",1522.82718555798,1486.94003922427,35.8871463337091
"P1.2",NA,"VR","2R0V","2",1584.00495291857,1520.38651080473,63.6184421138445
"P2","c1","AR","0R2V","1",1547.2540936504,1455.80044380925,91.4536498411497
"P2","c2","AR","2R0V","0",1593.80876703727,1564.62717762167,29.1815894155955
"P2","c3","AR","1R1V","0",1536.52099105391,1589.00841060091,-52.4874195469985
"P2","c4","AR","1R1V","2",1598.91240284302,1541.53627517806,57.3761276649583
"P2","c5","AR","0R2V","0",1625.24240496674,1564.19603338241,61.046371584335
"P2","c6","AR","2R0V","2",1551.16001814291,1490.75800084766,60.4020172952483
"P2","c7","AR","2R0V","1",1546.89087210492,1701.67084186713,-154.779969762204
"P2","c8","AR","1R1V","1",1503.86917289954,1489.67069888235,14.1984740171906
"P2","c9","AR","0R2V","2",1521.04472426875,1490.66582083551,30.3789034332341
"P2","c10","VR","2R0V","2",1540.72040784407,1560.1060890314,-19.3856811873318
"P2","c11","VR","2R0V","0",1382.48955123955,1763.62534234222,-381.135791102675
"P2","c12","VR","2R0V","1",1546.89087210492,1701.67084186713,-154.779969762204
