"Participant","cBlock","Mode","Composition","Collider","n_trials","mean_A","sd_A","mean_B","sd_B","mean_AminusB","sd_AminusB"
"P2","c1","AR","0R2V","1",3,1547.2540936504,61.1513285840195,1455.80044380925,119.169420511672,91.4536498411497,59.0390434644133
"P2","c2","AR","2R0V","0",3,1593.80876703727,54.9184633813826,1564.62717762167,255.929488712891,29.1815894155955,201.499374466488
"P2","c3","AR","1R1V","0",3,1536.52099105391,12.7157137726802,1589.00841060091,184.782761477912,-52.4874195469985,172.288285868252
"P2","c4","AR","1R1V","2",3,1598.91240284302,20.7325300554189,1541.53627517806,140.620090832093,57.3761276649583,154.995080414684
"P2","c5","AR","0R2V","0",3,1625.24240496674,87.7086651211433,1564.19603338241,169.05230901414,61.046371584335,141.416169249298
"P2","c6","AR","2R0V","2",3,1551.16001814291,64.2747781566034,1490.75800084766,67.6444344323667,60.4020172952483,58.8708842928472
"P2","c7","AR","2R0V","1",3,1546.89087210492,125.926412809013,1701.67084186713,183.679929313848,-154.779969762204,298.782497183638
"P2","c8","AR","1R1V","1",3,1503.86917289954,86.2099255261303,1489.67069888235,174.479336685958,14.1984740171906,161.597903906406
"P2","c9","AR","0R2V","2",3,1521.04472426875,17.6158941686732,1490.66582083551,125.757809225432,30.3789034332341,123.273181508619
"P2","c10","VR","2R0V","2",3,1540.72040784407,62.3486579508819,1560.1060890314,64.7872047842504,-19.3856811873318,8.57474828612078
"P2","c11","VR","2R0V","0",2,1382.48955123955,99.1838821440651,1763.62534234222,375.663231379065,-381.135791102675,276.479349235
"P2","c12","VR","2R0V","1",3,1546.89087210492,125.926412809013,1701.67084186713,183.679929313848,-154.779969762204,298.782497183638
