"Participant","from","to","metric","p","d","mean_from","mean_to","delta","p_adj"
"P1.2","c1","c2","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c2","c3","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c3","c4","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c4","c5","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c5","c6","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c6","c7","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c7","c8","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c8","c9","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c9","c10","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c10","c11","mean_dist_A",NA,NA,NA,NA,NA,NA
"P1.2","c11","c12","mean_dist_A",NA,NA,NA,NA,NA,NA
"P2","c1","c2","mean_dist_A",0.382702878026119,-0.801030045381838,1547.2540936504,1593.80876703727,46.5546733868698,0.701621943047885
"P2","c2","c3","mean_dist_A",0.208155575885965,1.43720483141985,1593.80876703727,1536.52099105391,-57.2877759833523,0.60195274680994
"P2","c3","c4","mean_dist_A",0.0171008450694325,-3.62787620138,1536.52099105391,1598.91240284302,62.3914117891086,0.188109295763757
"P2","c4","c5","mean_dist_A",0.658616357436103,-0.413158871298198,1598.91240284302,1625.24240496674,26.3300021237187,0.80497554797746
"P2","c5","c6","mean_dist_A",0.308828967620343,0.963488878338073,1625.24240496674,1551.16001814291,-74.0823868238333,0.679423728764754
"P2","c6","c7","mean_dist_A",0.961601468922234,0.0427035166973061,1551.16001814291,1546.89087210492,-4.26914603798377,0.961601468922234
"P2","c7","c8","mean_dist_A",0.654053955593048,0.398677222631882,1546.89087210492,1503.86917289954,-43.0216992053843,0.80497554797746
"P2","c8","c9","mean_dist_A",0.76527401077535,-0.276048818194473,1503.86917289954,1521.04472426875,17.1755513692094,0.841801411852886
"P2","c9","c10","mean_dist_A",0.644954487686102,-0.429477511931596,1521.04472426875,1540.72040784407,19.6756835753208,0.80497554797746
"P2","c10","c11","mean_dist_A",0.218891907930887,2.06512138773672,1540.72040784407,1382.48955123955,-158.230856604524,0.60195274680994
"P2","c11","c12","mean_dist_A",0.211031429324272,-1.39690880363479,1382.48955123955,1546.89087210492,164.401320865378,0.60195274680994
"P1.2","c1","c2","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c2","c3","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c3","c4","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c4","c5","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c5","c6","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c6","c7","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c7","c8","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c8","c9","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c9","c10","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c10","c11","mean_dist_B",NA,NA,NA,NA,NA,NA
"P1.2","c11","c12","mean_dist_B",NA,NA,NA,NA,NA,NA
"P2","c1","c2","mean_dist_B",0.554763210948753,-0.545152509519951,1455.80044380925,1564.62717762167,108.826733812424,0.990707155403237
"P2","c2","c3","mean_dist_B",0.900642868548397,-0.109230479209675,1564.62717762167,1589.00841060091,24.3812329792418,0.990707155403237
