"Participant","ConditionID","Mode","Composition","Collider","meanA","meanB","meanAB","BlockIndex","prev_Mode","prev_Comp","prev_Coll","dA","dB","dAB","mode_change","comp_change","coll_change","transition_mode","transition_comp","transition_coll"
"P2","C2","VR","2R0V","2",1540.72040784407,1560.1060890314,-19.3856811873318,2,"VR","2R0V","0",158.230856604524,-203.51925331082,361.750109915344,FALSE,FALSE,TRUE,"VR→VR","2R0V→2R0V","0→2"
"P1.2","C8","AR","1R1V","0",1540.72040784407,1560.1060890314,-19.3856811873318,3,"AR","2R0V","0",158.230856604524,-203.51925331082,361.750109915344,FALSE,TRUE,FALSE,"AR→AR","2R0V→1R1V","0→0"
"P2","C3","VR","2R0V","1",1546.89087210492,1701.67084186713,-154.779969762204,3,"VR","2R0V","2",6.17046426085403,141.564752835726,-135.394288574872,FALSE,FALSE,TRUE,"VR→VR","2R0V→2R0V","2→1"
"P1.2","C4","AR","1R1V","2",1546.89087210492,1701.67084186713,-154.779969762204,4,"AR","1R1V","0",6.17046426085403,141.564752835726,-135.394288574872,FALSE,FALSE,TRUE,"AR→AR","1R1V→1R1V","0→2"
"P2","C4","AR","1R1V","2",1598.91240284302,1541.53627517806,57.3761276649583,4,"VR","2R0V","1",52.0215307380984,-160.134566689064,212.156097427162,TRUE,TRUE,TRUE,"VR→AR","2R0V→1R1V","1→2"
"P1.2","C10","AR","0R2V","0",1598.91240284302,1541.53627517806,57.3761276649583,5,"AR","1R1V","2",52.0215307380984,-160.134566689064,212.156097427162,FALSE,TRUE,TRUE,"AR→AR","1R1V→0R2V","2→0"
"P2","C5","AR","0R2V","1",1547.2540936504,1455.80044380925,91.4536498411497,5,"AR","1R1V","2",-51.6583091926261,-85.7358313688176,34.0775221761914,FALSE,TRUE,TRUE,"AR→AR","1R1V→0R2V","2→1"
"P1.2","C6","AR","2R0V","2",1547.2540936504,1455.80044380925,91.4536498411497,6,"AR","0R2V","0",-51.6583091926261,-85.7358313688176,34.0775221761914,FALSE,TRUE,TRUE,"AR→AR","0R2V→2R0V","0→2"
"P2","C6","AR","2R0V","2",1551.16001814291,1490.75800084766,60.4020172952483,6,"AR","0R2V","1",3.90592449251153,34.9575570384131,-31.0516325459014,FALSE,TRUE,TRUE,"AR→AR","0R2V→2R0V","1→2"
"P1.2","C11","AR","2R0V","1",1551.16001814291,1490.75800084766,60.4020172952483,7,"AR","2R0V","2",3.90592449251153,34.9575570384131,-31.0516325459014,FALSE,FALSE,TRUE,"AR→AR","2R0V→2R0V","2→1"
"P2","C7","AR","2R0V","0",1593.80876703727,1564.62717762167,29.1815894155955,7,"AR","2R0V","2",42.6487488943583,73.8691767740111,-31.2204278796529,FALSE,FALSE,TRUE,"AR→AR","2R0V→2R0V","2→0"
"P1.2","C12","AR","1R1V","1",1577.07725257416,1577.84541038242,-0.768157808255637,8,"AR","2R0V","1",25.9172344312535,87.0874095347574,-61.170175103504,FALSE,TRUE,FALSE,"AR→AR","2R0V→1R1V","1→1"
"P2","C8","AR","1R1V","0",1536.52099105391,1589.00841060091,-52.4874195469985,8,"AR","2R0V","0",-57.2877759833523,24.3812329792418,-81.669008962594,FALSE,TRUE,FALSE,"AR→AR","2R0V→1R1V","0→0"
"P1.2","C9","AR","0R2V","2",1534.58996143022,1581.16768366772,-46.5777222375046,9,"AR","1R1V","1",-42.4872911439411,3.3222732853078,-45.809564429249,FALSE,TRUE,TRUE,"AR→AR","1R1V→0R2V","1→2"
"P2","C9","AR","0R2V","2",1521.04472426875,1490.66582083551,30.3789034332341,9,"AR","1R1V","0",-15.4762667851646,-98.3425897653974,82.8663229802326,FALSE,TRUE,TRUE,"AR→AR","1R1V→0R2V","0→2"
"P1.2","C2","VR","2R0V","2",1584.00495291857,1520.38651080473,63.6184421138445,10,"AR","0R2V","2",49.4149914883533,-60.7811728629958,110.196164351349,TRUE,TRUE,FALSE,"AR→VR","0R2V→2R0V","2→2"
"P2","C10","AR","0R2V","0",1625.24240496674,1564.19603338241,61.046371584335,10,"AR","0R2V","2",104.197680697992,73.5302125468911,30.6674681511008,FALSE,FALSE,TRUE,"AR→AR","0R2V→0R2V","2→0"
"P1.2","C1","VR","2R0V","0",1590.0075998746,1581.39539156565,8.61220830894656,11,"VR","2R0V","2",6.00264695602687,61.008880760925,-55.006233804898,FALSE,FALSE,TRUE,"VR→VR","2R0V→2R0V","2→0"
"P2","C11","AR","2R0V","1",1576.95685846513,1531.17789427089,45.7789641942397,11,"AR","0R2V","0",-48.2855465016132,-33.0181391115179,-15.2674073900952,FALSE,TRUE,TRUE,"AR→AR","0R2V→2R0V","0→1"
"P1.2","C3","VR","2R0V","1",1522.82718555798,1486.94003922427,35.8871463337091,12,"VR","2R0V","0",-67.1804143166237,-94.4553523413863,27.2749380247625,FALSE,FALSE,TRUE,"VR→VR","2R0V→2R0V","0→1"
"P2","C12","AR","1R1V","1",1503.86917289954,1489.67069888235,14.1984740171906,12,"AR","2R0V","1",-73.0876855655881,-41.507195388539,-31.5804901770492,FALSE,TRUE,FALSE,"AR→AR","2R0V→1R1V","1→1"
