"ConditionID","P1.2","P2","diff_P12_minus_P2"
"C7",1427.18240878962,1577.46133147829,-150.278922688666
"C11",1493.59126872827,1504.88361239112,-11.292343662855
"C6",1450.7899665913,1539.06739339804,-88.2774268067337
"C8",1473.51794887482,1557.87882254897,-84.3608736741483
"C12",1515.19837576657,1493.50859678693,21.6897789796378
"C4",1474.79663126555,1559.81731594677,-85.0206846812175
"C10",1479.27760296799,1585.70149572013,-106.423892752134
"C5",1625.44515954824,1481.48085443624,143.964305112
"C9",1456.76685701,1552.19573186165,-95.4288748516501
"C1",1522.03544453406,1580.52059412845,-58.4851495943935
"C3",1535.4967739358,1607.08816254961,-71.5913886138133
"C2",1520.93230797465,1578.82680250684,-57.894494532193
