"ConditionID","TrialNum","Mode","Composition","Collider","Participant"
"C5",1,"AR","0R2V",1,"P1.2"
"C5",2,"AR","0R2V",1,"P1.2"
"C5",3,"AR","0R2V",1,"P1.2"
"C7",4,"AR","2R0V",0,"P1.2"
"C7",5,"AR","2R0V",0,"P1.2"
"C7",6,"AR","2R0V",0,"P1.2"
"C8",7,"AR","1R1V",0,"P1.2"
"C8",8,"AR","1R1V",0,"P1.2"
"C8",9,"AR","1R1V",0,"P1.2"
"C4",10,"AR","1R1V",2,"P1.2"
"C4",11,"AR","1R1V",2,"P1.2"
"C4",12,"AR","1R1V",2,"P1.2"
"C10",13,"AR","0R2V",0,"P1.2"
"C10",14,"AR","0R2V",0,"P1.2"
"C10",15,"AR","0R2V",0,"P1.2"
"C6",16,"AR","2R0V",2,"P1.2"
"C6",17,"AR","2R0V",2,"P1.2"
"C6",18,"AR","2R0V",2,"P1.2"
"C11",19,"AR","2R0V",1,"P1.2"
"C11",20,"AR","2R0V",1,"P1.2"
"C11",21,"AR","2R0V",1,"P1.2"
"C12",23,"AR","1R1V",1,"P1.2"
"C12",24,"AR","1R1V",1,"P1.2"
"C12",25,"AR","1R1V",1,"P1.2"
"C9",26,"AR","0R2V",2,"P1.2"
"C9",27,"AR","0R2V",2,"P1.2"
"C9",28,"AR","0R2V",2,"P1.2"
"C2",29,"VR","2R0V",2,"P1.2"
"C2",30,"VR","2R0V",2,"P1.2"
"C2",31,"VR","2R0V",2,"P1.2"
"C1",32,"VR","2R0V",0,"P1.2"
"C1",33,"VR","2R0V",0,"P1.2"
"C1",34,"VR","2R0V",0,"P1.2"
"C3",35,"VR","2R0V",1,"P1.2"
"C3",36,"VR","2R0V",1,"P1.2"
"C3",37,"VR","2R0V",1,"P1.2"
"C1",5,"VR","2R0V",0,"P2"
"C1",6,"VR","2R0V",0,"P2"
"C1",7,"VR","2R0V",0,"P2"
"C2",8,"VR","2R0V",2,"P2"
"C2",9,"VR","2R0V",2,"P2"
"C2",10,"VR","2R0V",2,"P2"
"C3",11,"VR","2R0V",1,"P2"
"C3",12,"VR","2R0V",1,"P2"
"C3",13,"VR","2R0V",1,"P2"
"C4",14,"AR","1R1V",2,"P2"
"C4",15,"AR","1R1V",2,"P2"
"C4",16,"AR","1R1V",2,"P2"
"C5",17,"AR","0R2V",1,"P2"
"C5",18,"AR","0R2V",1,"P2"
"C5",19,"AR","0R2V",1,"P2"
"C6",20,"AR","2R0V",2,"P2"
"C6",21,"AR","2R0V",2,"P2"
"C6",22,"AR","2R0V",2,"P2"
"C7",23,"AR","2R0V",0,"P2"
"C7",24,"AR","2R0V",0,"P2"
"C7",25,"AR","2R0V",0,"P2"
"C8",26,"AR","1R1V",0,"P2"
"C8",27,"AR","1R1V",0,"P2"
"C8",28,"AR","1R1V",0,"P2"
"C9",29,"AR","0R2V",2,"P2"
"C9",30,"AR","0R2V",2,"P2"
"C9",31,"AR","0R2V",2,"P2"
"C10",32,"AR","0R2V",0,"P2"
"C10",33,"AR","0R2V",0,"P2"
"C10",34,"AR","0R2V",0,"P2"
"C11",35,"AR","2R0V",1,"P2"
"C11",36,"AR","2R0V",1,"P2"
"C11",37,"AR","2R0V",1,"P2"
"C12",38,"AR","1R1V",1,"P2"
"C12",39,"AR","1R1V",1,"P2"
"C12",40,"AR","1R1V",1,"P2"
