"Participant","ConditionID","Mode","Composition","Collider","n_trials","mean_dist","sd_dist","mean_A","mean_B","mean_deltaAB"
"P1.2","C7","AR","2R0V",0,3,1427.18240878962,NA,1445.74645228515,1408.61836529409,37.1280869910547
"P1.2","C11","AR","2R0V",1,3,1493.59126872827,NA,1530.79659781691,1456.38593963962,74.4106581772952
"P1.2","C6","AR","2R0V",2,3,1450.7899665913,NA,1525.22248275042,1376.35745043219,148.865032318232
"P1.2","C8","AR","1R1V",0,3,1473.51794887482,NA,1450.94657849358,1496.08931925606,-45.1427407624821
"P1.2","C12","AR","1R1V",1,3,1515.19837576657,NA,1358.50158526608,1671.89516626706,-313.393581000976
"P1.2","C4","AR","1R1V",2,3,1474.79663126555,NA,1499.82599303037,1449.76726950074,50.0587235296353
"P1.2","C10","AR","0R2V",0,3,1479.27760296799,NA,1495.78935680301,1462.76584913298,33.023507670032
"P1.2","C5","AR","0R2V",1,3,1625.44515954824,NA,1479.27888923627,1771.6114298602,-292.332540623929
"P1.2","C9","AR","0R2V",2,3,1456.76685701,NA,1401.7671950614,1511.7665189586,-109.99932389719
"P1.2","C1","VR","2R0V",0,3,1522.03544453406,NA,1443.57986792647,1600.49102114164,-156.911153215162
"P1.2","C3","VR","2R0V",1,3,1535.4967739358,NA,1558.19037721179,1512.80317065981,45.3872065519747
"P1.2","C2","VR","2R0V",2,3,1520.93230797465,NA,1523.79575664886,1518.06885930044,5.72689734842375
"P2","C7","AR","2R0V",0,3,1577.46133147829,NA,1577.07725257416,1577.84541038242,-0.768157808256433
"P2","C11","AR","2R0V",1,3,1504.88361239112,NA,1522.82718555798,1486.94003922427,35.8871463337085
"P2","C6","AR","2R0V",2,3,1539.06739339804,NA,1548.45679099388,1529.67799580219,18.7787951916943
"P2","C8","AR","1R1V",0,3,1557.87882254897,NA,1534.58996143022,1581.16768366772,-46.5777222375043
"P2","C12","AR","1R1V",1,3,1493.50859678693,NA,1550.21771476736,1436.79947880651,113.418235960849
"P2","C4","AR","1R1V",2,3,1559.81731594677,NA,1610.24332613226,1509.39130576128,100.852020370985
"P2","C10","AR","0R2V",0,3,1585.70149572013,NA,1590.0075998746,1581.39539156565,8.61220830894623
"P2","C5","AR","0R2V",1,3,1481.48085443624,NA,1543.93079786272,1419.03091100975,124.899886852973
"P2","C9","AR","0R2V",2,3,1552.19573186165,NA,1584.00495291857,1520.38651080473,63.6184421138443
"P2","C1","VR","2R0V",0,3,1580.52059412845,NA,1448.70773596009,1712.33345229681,-263.625716336717
"P2","C3","VR","2R0V",1,3,1607.08816254961,NA,1580.71152828702,1633.4647968122,-52.7532685251735
"P2","C2","VR","2R0V",2,3,1578.82680250684,NA,1505.27417247266,1652.37943254102,-147.105260068358
