"Participant","ConditionID","TrialNum","trial_1","trial_3","delta_trial3_minus_trial1"
"P1.2","C5",1,-668.513323128625,NA,NA
"P1.2","C5",3,NA,-258.895506260597,NA
"P2","C3",11,173.06181409403,NA,NA
"P2","C3",13,NA,-105.684199736789,NA
"P2","C5",17,136.971112848576,NA,NA
"P1.2","C11",19,171.973379505006,NA,NA
"P2","C5",19,NA,125.082189416761,NA
"P1.2","C11",21,NA,44.6977774827614,NA
"P1.2","C12",23,-460.998136892826,NA,NA
"P1.2","C12",25,NA,-163.761457708018,NA
"P1.2","C3",35,22.167408528141,NA,NA
"P2","C11",35,320.847112987645,NA,NA
"P1.2","C3",37,NA,-136.047121853778,NA
"P2","C11",37,NA,-159.166954002898,NA
"P2","C12",38,160.649104357845,NA,NA
"P2","C12",40,NA,138.492331828075,NA
