"Participant","TrialNum","ConditionID","Mode","Composition","Collider","n_frames","mean_dist_A","mean_dist_B","mean_dist","mean_deltaAB","mean_markers","pct_frames_16plus"
"P1.2",1,"C5","AR","0R2V",1,1070,1622.59935801016,2291.11268113879,1956.85601957448,-668.513323128625,8.11869158878502,31.9626168224299
"P1.2",2,"C5","AR","0R2V",1,838,1355.94071017873,1305.5295026613,1330.73510642002,50.4112075174336,11.5644391408115,47.255369928401
"P1.2",3,"C5","AR","0R2V",1,658,1459.29659951992,1718.19210578052,1588.74435265022,-258.895506260597,12.69452887538,51.063829787234
"P1.2",4,"C7","AR","2R0V",0,525,1449.63610443538,1526.24712784449,1487.94161613994,-76.611023409116,15.2533333333333,63.047619047619
"P1.2",5,"C7","AR","2R0V",0,872,1360.29372030974,1166.09558980151,1263.19465505562,194.198130508235,12.269495412844,45.6422018348624
"P1.2",6,"C7","AR","2R0V",0,542,1527.30953211033,1533.51237823628,1530.4109551733,-6.20284612595504,13.9981549815498,58.6715867158672
"P1.2",7,"C8","AR","1R1V",0,539,1468.25733822416,1613.72906979173,1540.99320400795,-145.471731567569,13.1948051948052,58.2560296846011
"P1.2",8,"C8","AR","1R1V",0,946,1353.47695719841,1375.48977622979,1364.4833667141,-22.0128190313805,10.0084566596195,39.323467230444
"P1.2",9,"C8","AR","1R1V",0,538,1531.10544005818,1499.04911174668,1515.07727590243,32.0563283115033,14.228624535316,59.6654275092937
"P1.2",10,"C4","AR","1R1V",2,539,1549.45497896241,1525.32145449245,1537.38821672743,24.1335244699586,13.2690166975881,58.8126159554731
"P1.2",11,"C4","AR","1R1V",2,814,1347.74714524999,1214.73985323263,1281.24349924131,133.007292017357,11.4066339066339,46.1916461916462
"P1.2",12,"C4","AR","1R1V",2,618,1602.27585487872,1609.24050077713,1605.75817782793,-6.96464589840973,11.7216828478964,48.3818770226537
"P1.2",13,"C10","AR","0R2V",0,554,1632.76901070701,1525.64263409052,1579.20582239877,107.126376616498,13.0559566787004,52.7075812274368
"P1.2",14,"C10","AR","0R2V",0,938,1336.62813924711,1326.11355308595,1331.37084616653,10.5145861611609,10.3230277185501,40.5117270788913
"P1.2",15,"C10","AR","0R2V",0,563,1517.9709204549,1536.54136022246,1527.25614033868,-18.5704397675629,13.9751332149201,56.8383658969805
"P1.2",16,"C6","AR","2R0V",2,463,1643.04976710275,1282.5762434263,1462.81300526453,360.473523676449,14.0021598272138,64.7948164146868
"P1.2",17,"C6","AR","2R0V",2,1036,1523.91692315912,1241.61161627051,1382.76426971481,282.305306888615,11.7036679536679,40.8301158301158
"P1.2",18,"C6","AR","2R0V",2,684,1408.70075798938,1604.88449159975,1506.79262479457,-196.183733610368,12.7836257309942,54.9707602339181
"P1.2",19,"C11","AR","2R0V",1,629,1646.95329746803,1474.97991796302,1560.96660771552,171.973379505006,13.1891891891892,52.3052464228935
"P1.2",20,"C11","AR","2R0V",1,1103,1286.36313057396,1279.80231302984,1283.0827218019,6.56081754411814,8.93563009972806,35.8114233907525
"P1.2",21,"C11","AR","2R0V",1,660,1659.07336540875,1614.37558792599,1636.72447666737,44.6977774827614,11.7772727272727,48.9393939393939
"P1.2",23,"C12","AR","1R1V",1,821,1447.25216967876,1908.25030657159,1677.75123812517,-460.998136892826,9.80389768574911,39.5858708891596
"P1.2",24,"C12","AR","1R1V",1,766,1228.25368977658,1543.67483817866,1385.96426397762,-315.421148402083,14.378590078329,67.8851174934726
"P1.2",25,"C12","AR","1R1V",1,583,1399.99889634291,1563.76035405093,1481.87962519692,-163.761457708018,13.9365351629503,59.3481989708405
"P1.2",26,"C9","AR","0R2V",2,551,1464.1140302525,1560.02906548972,1512.07154787111,-95.915035237223,15.9201451905626,65.6987295825771
"P1.2",27,"C9","AR","0R2V",2,946,1312.06853812433,1375.24881339844,1343.65867576138,-63.1802752741143,10.4471458773784,41.3319238900634
"P1.2",28,"C9","AR","0R2V",2,612,1429.11901680739,1600.02167798763,1514.57034739751,-170.902661180234,13.8088235294118,56.5359477124183
"P1.2",29,"C2","VR","2R0V",2,706,1680.59030718019,1565.03196786191,1622.81113752105,115.558339318288,11.6940509915014,49.2917847025496
"P1.2",30,"C2","VR","2R0V",2,1194,1475.45650663213,1187.17870926129,1331.31760794671,288.277797370837,9.97571189279731,37.6046901172529
"P1.2",31,"C2","VR","2R0V",2,748,1415.34045613426,1801.99590077811,1608.66817845619,-386.655444643854,10.9505347593583,44.5187165775401
"P1.2",32,"C1","VR","2R0V",0,724,1511.78168617998,1748.02804722595,1629.90486670297,-236.246361045972,13.700276243094,49.7237569060773
"P1.2",33,"C1","VR","2R0V",0,766,1259.05518455142,1383.63786747082,1321.34652601112,-124.582682919394,10.5548302872063,42.0365535248042
"P1.2",34,"C1","VR","2R0V",0,583,1559.90273304802,1669.80714872814,1614.85494088808,-109.90441568012,12.4082332761578,50.7718696397942
"P1.2",35,"C3","VR","2R0V",1,571,1562.08799972952,1539.92059120138,1551.00429546545,22.167408528141,14.183887915937,55.5166374781086
"P1.2",36,"C3","VR","2R0V",1,1029,1536.66041446095,1286.61908147938,1411.63974797016,250.041332981561,9.1516034985422,34.6938775510204
"P1.2",37,"C3","VR","2R0V",1,686,1575.82271744489,1711.86983929867,1643.84627837178,-136.047121853778,10.8002915451895,0
"P2",5,"C1","VR","2R0V",0,1110,1312.35595559107,1497.99132399163,1405.17363979135,-185.635368400562,16.1315315315315,67.8378378378378
"P2",6,"C1","VR","2R0V",0,1009,1452.62314688802,2029.25936069281,1740.94125379041,-576.636213804789,9.83349851337958,31.615460852329
"P2",7,"C1","VR","2R0V",0,784,1581.14410540118,1609.74967220598,1595.44688880358,-28.6055668048011,13.7806122448979,54.5918367346939
"P2",8,"C2","VR","2R0V",2,932,1468.9159369657,1486.81762960994,1477.86678328782,-17.9016926442429,14.6180257510729,58.2618025751073
"P2",9,"C2","VR","2R0V",2,622,1572.10118116533,1583.75096527828,1577.9260732218,-11.6497841129504,14.2974276527331,57.0739549839228
"P2",10,"C2","VR","2R0V",2,837,1474.80539928696,1886.56970273484,1680.6875510109,-411.764303447882,10.4384707287933,42.7718040621266
"P2",11,"C3","VR","2R0V",1,1163,1692.29642166081,1519.23460756678,1605.76551461379,173.06181409403,11.4316423043852,43.8521066208083
"P2",12,"C3","VR","2R0V",1,653,1473.570795367,1699.20821529976,1586.38950533338,-225.637419932761,11.114854517611,41.5007656967841
"P2",13,"C3","VR","2R0V",1,567,1576.26736783326,1681.95156757005,1629.10946770166,-105.684199736789,12.7848324514991,56.2610229276896
"P2",14,"C4","AR","1R1V",2,781,1603.50888179954,1400.7122768214,1502.11057931047,202.796604978148,14.0192061459667,44.0460947503201
"P2",15,"C4","AR","1R1V",2,440,1616.96095889626,1541.94498114274,1579.4529700195,75.0159777535162,14.6954545454545,56.1363636363636
"P2",16,"C4","AR","1R1V",2,483,1610.26013770099,1585.5166593197,1597.88839851035,24.7434783812922,13.2650103519669,49.4824016563147
"P2",17,"C5","AR","0R2V",1,1033,1488.14375742376,1351.17264457518,1419.65820099947,136.971112848576,15.2604065827687,68.8286544046467
"P2",18,"C5","AR","0R2V",1,433,1543.35838582644,1430.71202753285,1487.03520667964,112.646358293582,14.2332563510393,56.35103926097
"P2",19,"C5","AR","0R2V",1,540,1600.29025033798,1475.20806092122,1537.7491556296,125.082189416761,13.9833333333333,51.8518518518518
"P2",20,"C6","AR","2R0V",2,787,1478.41905415014,1432.24255645188,1455.33080530101,46.1764976982616,14.9224904701398,60.4828462515883
"P2",21,"C6","AR","2R0V",2,600,1574.7707499406,1564.82338516988,1569.79706755524,9.94736477072183,10.79,0
"P2",22,"C6","AR","2R0V",2,624,1592.18056889091,1591.96804578481,1592.07430733786,0.212523106099477,13.1955128205128,45.9935897435897
"P2",23,"C7","AR","2R0V",0,1217,1539.7225077485,1296.12491489833,1417.92371132342,243.597592850168,14.6754313886606,56.0394412489729
"P2",24,"C7","AR","2R0V",0,597,1649.52322447238,1805.78857218187,1727.65589832712,-156.265347709483,11.142378559464,36.3484087102178
"P2",25,"C7","AR","2R0V",0,529,1541.98602550159,1631.62274406705,1586.80438478432,-89.6367185654543,12.9621928166352,50.4725897920605
"P2",26,"C8","AR","1R1V",0,948,1521.98637971026,1386.64135632554,1454.3138680179,135.345023384715,12.3270042194093,42.0886075949367
"P2",27,"C8","AR","1R1V",0,501,1545.59056794989,1748.76113141014,1647.17584968002,-203.170563460255,12.1377245508982,41.7165668662675
"P2",28,"C8","AR","1R1V",0,472,1536.19293663051,1608.10056326749,1572.146749949,-71.9076266369723,14.1165254237288,55.2966101694915
"P2",29,"C9","AR","0R2V",2,762,1525.22725340772,1357.97657973893,1441.60191657332,167.250673668793,12.8700787401575,53.6745406824147
"P2",30,"C9","AR","0R2V",2,591,1501.71398276801,1505.92031950013,1503.81715113407,-4.20633673211873,13.6937394247039,52.7918781725888
"P2",31,"C9","AR","0R2V",2,812,1725.07362257999,1697.26263317513,1711.16812787756,27.8109894048586,10.3374384236453,38.9162561576355
