"Participant","TrialNum","t0","t1","dt","mid_start","mid_end","longest_good_mid_sec"
"P1.2",1,0,10.69,0.00999999999999979,2.6725,8.0175,2.21999999999995
"P1.2",2,0,8.37,0.00999999999999979,2.0925,6.2775,3.09999999999993
"P1.2",3,0,6.57,0.01,1.6425,4.9275,2.97
"P1.2",4,0,5.24,0.01,1.31,3.93,2.63
"P1.2",5,0,8.71,0.00999999999999979,2.1775,6.5325,2.60999999999994
"P1.2",6,0,5.41,0.01,1.3525,4.0575,2.59
"P1.2",7,0,5.38,0.01,1.345,4.035,2.69
"P1.2",8,0,9.45,0.00999999999999979,2.3625,7.0875,3.40999999999993
"P1.2",9,0,5.37,0.01,1.3425,4.0275,2.68
"P1.2",10,0,5.38,0.01,1.345,4.035,2.59
"P1.2",11,0,8.13,0.00999999999999979,2.0325,6.0975,2.82999999999994
"P1.2",12,0,6.17,0.01,1.5425,4.6275,2.81
"P1.2",13,0,5.53,0.01,1.3825,4.1475,2.36
"P1.2",14,0,9.37,0.00999999999999979,2.3425,7.0275,3.28999999999993
"P1.2",15,0,5.62,0.01,1.405,4.215,2.73
"P1.2",16,0,4.62,0.01,1.155,3.465,1.84
"P1.2",17,0,10.35,0.00999999999999979,2.5875,7.7625,2.83999999999994
"P1.2",18,0,6.83,0.01,1.7075,5.1225,3.01
"P1.2",19,0,6.28,0.01,1.57,4.71,2.56
"P1.2",20,0,11.02,0.00999999999999979,2.755,8.265,2.34999999999995
"P1.2",21,0,6.59,0.01,1.6475,4.9425,2.92
"P1.2",23,0,8.2,0.00999999999999979,2.05,6.15,3.10999999999993
"P1.2",24,0,7.65,0.00999999999999979,1.9125,5.7375,3.67999999999992
"P1.2",25,0,5.82,0.01,1.455,4.365,2.91
"P1.2",26,0,5.5,0.01,1.375,4.125,2.75
"P1.2",27,0,9.45,0.00999999999999979,2.3625,7.0875,3.55999999999992
"P1.2",28,0,6.11,0.01,1.5275,4.5825,2.88
"P1.2",29,0,7.05,0.01,1.7625,5.2875,2.8
"P1.2",30,0,11.93,0.00999999999999979,2.9825,8.9475,2.79999999999994
"P1.2",31,0,7.47,0.0099999999999999,1.8675,5.6025,3.12999999999997
"P1.2",32,0,7.23,0.00999999999999998,1.8075,5.4225,3.21999999999999
"P1.2",33,0,7.65,0.00999999999999979,1.9125,5.7375,3.13999999999993
"P1.2",34,0,5.82,0.01,1.455,4.365,2.85
"P1.2",35,0,5.7,0.01,1.425,4.275,2.71
"P1.2",36,0,10.28,0.00999999999999979,2.57,7.71,2.51999999999995
"P1.2",37,0,6.85,0.01,1.7125,5.1375,0
"P2",5,0,11.09,0.00999999999999979,2.7725,8.3175,4.6199999999999
"P2",6,0,10.08,0.00999999999999979,2.52,7.56,2.30999999999995
"P2",7,0,7.83,0.00999999999999979,1.9575,5.8725,3.54999999999992
"P2",8,0,9.31,0.00999999999999979,2.3275,6.9825,4.26999999999991
"P2",9,0,6.21,0.01,1.5525,4.6575,3.1
"P2",10,0,8.36,0.00999999999999979,2.09,6.27,2.60999999999994
"P2",11,0,11.62,0.00999999999999979,2.905,8.715,4.19999999999991
"P2",12,0,6.52,0.01,1.63,4.89,2.53
"P2",13,0,5.66,0.01,1.415,4.245,2.57
"P2",14,0,7.8,0.00999999999999979,1.95,5.85,2.68999999999994
"P2",15,0,4.39,0.01,1.0975,3.2925,1.82
"P2",16,0,4.82,0.01,1.205,3.615,1.95
"P2",17,0,10.32,0.00999999999999979,2.58,7.74,5.16999999999989
"P2",18,0,4.32,0.01,1.08,3.24,2
"P2",19,0,5.39,0.01,1.3475,4.0425,2.38
"P2",20,0,7.86,0.00999999999999979,1.965,5.895,3.68999999999992
"P2",21,0,5.99,0.01,1.4975,4.4925,0
"P2",22,0,6.23,0.01,1.5575,4.6725,2.85
"P2",23,0,12.16,0.00999999999999979,3.04,9.12,4.6299999999999
"P2",24,0,5.96,0.01,1.49,4.47,1.95
"P2",25,0,5.28,0.01,1.32,3.96,2.49
"P2",26,0,9.47,0.00999999999999979,2.3675,7.1025,3.33999999999993
"P2",27,0,5,0.01,1.25,3.75,1.95
"P2",28,0,4.71,0.01,1.1775,3.5325,2.36
"P2",29,0,7.61,0.00999999999999979,1.9025,5.7075,3.12999999999993
"P2",30,0,5.9,0.01,1.475,4.425,2.76
"P2",31,0,8.11,0.00999999999999979,2.0275,6.0825,2.92999999999994
"P2",32,0,14.98,0.00999999999999979,3.745,11.235,4.99999999999989
"P2",33,0,5.55,0.01,1.3875,4.1625,1.84
"P2",34,0,6.62,0.01,1.655,4.965,2.79
"P2",35,0,11.47,0.00999999999999979,2.8675,8.6025,3.01999999999994
"P2",36,0,6.4,0.01,1.6,4.8,2.78
"P2",37,0,5.62,0.01,1.405,4.215,2.49
"P2",38,0,10.98,0.00999999999999979,2.745,8.235,4.7099999999999
"P2",39,0,5.38,0.01,1.345,4.035,2.36
"P2",40,0,4.78,0.01,1.195,3.585,2.26
