"Participant","TrialNum","n_frames","has_time","t0","t1","duration_sec","dt","mean_markers","median_markers","max_markers","pct_frames_16plus"
"P1.2",1,1070,TRUE,0,10.69,10.69,0.00999999999999979,8.11869158878502,3,19,31.9626168224299
"P1.2",2,838,TRUE,0,8.37,8.37,0.00999999999999979,11.5644391408115,14,19,47.255369928401
"P1.2",3,658,TRUE,0,6.57,6.57,0.01,12.69452887538,16,19,51.063829787234
"P1.2",4,525,TRUE,0,5.24,5.24,0.01,15.2533333333333,18,19,63.047619047619
"P1.2",5,872,TRUE,0,8.71,8.71,0.00999999999999979,12.269495412844,15,19,45.6422018348624
"P1.2",6,542,TRUE,0,5.41,5.41,0.01,13.9981549815498,18,19,58.6715867158672
"P1.2",7,539,TRUE,0,5.38,5.38,0.01,13.1948051948052,17,19,58.2560296846011
"P1.2",8,946,TRUE,0,9.45,9.45,0.00999999999999979,10.0084566596195,7,19,39.323467230444
"P1.2",9,538,TRUE,0,5.37,5.37,0.01,14.228624535316,17,19,59.6654275092937
"P1.2",10,539,TRUE,0,5.38,5.38,0.01,13.2690166975881,17,19,58.8126159554731
"P1.2",11,814,TRUE,0,8.13,8.13,0.00999999999999979,11.4066339066339,14,19,46.1916461916462
"P1.2",12,618,TRUE,0,6.17,6.17,0.01,11.7216828478964,14,19,48.3818770226537
"P1.2",13,554,TRUE,0,5.53,5.53,0.01,13.0559566787004,16,19,52.7075812274368
"P1.2",14,938,TRUE,0,9.37,9.37,0.00999999999999979,10.3230277185501,9.5,19,40.5117270788913
"P1.2",15,563,TRUE,0,5.62,5.62,0.01,13.9751332149201,18,19,56.8383658969805
"P1.2",16,463,TRUE,0,4.62,4.62,0.01,14.0021598272138,18,19,64.7948164146868
"P1.2",17,1036,TRUE,0,10.35,10.35,0.00999999999999979,11.7036679536679,14,19,40.8301158301158
"P1.2",18,684,TRUE,0,6.83,6.83,0.01,12.7836257309942,17,19,54.9707602339181
"P1.2",19,629,TRUE,0,6.28,6.28,0.01,13.1891891891892,16,19,52.3052464228935
"P1.2",20,1103,TRUE,0,11.02,11.02,0.00999999999999979,8.93563009972806,6,19,35.8114233907525
"P1.2",21,660,TRUE,0,6.59,6.59,0.01,11.7772727272727,15,19,48.9393939393939
"P1.2",23,821,TRUE,0,8.2,8.2,0.00999999999999979,9.80389768574911,10,19,39.5858708891596
"P1.2",24,766,TRUE,0,7.65,7.65,0.00999999999999979,14.378590078329,18,19,67.8851174934726
"P1.2",25,583,TRUE,0,5.82,5.82,0.01,13.9365351629503,18,19,59.3481989708405
"P1.2",26,551,TRUE,0,5.5,5.5,0.01,15.9201451905626,19,19,65.6987295825771
