"TrialNum","MeanToA","MeanToB"
2,1346.45459150426,1419.27286353366
3,1366.34791361873,1359.98326759372
4,1656.0930814981,1668.28823266928
5,1209.2208991324,2094.17777085536
6,1177.07417257784,1546.89306628886
7,1240.2793644968,1640.23492927246
8,1395.08639240124,1412.13739385605
9,1337.00148661168,1585.42606619731
10,1223.20653827481,1674.0232962066
11,1233.2134910308,1404.56851372955
12,1231.69086504792,1687.21943157148
13,1247.60251779706,1676.61315015445
14,1268.99575884674,1578.41344679794
15,1476.21247180999,1427.71980017397
16,1348.16594955581,1448.19464995866
17,1182.29701218033,1444.85463060289
18,1379.03775078977,1615.91062825976
19,1370.93279071648,1313.12221462607
20,1242.43908400848,1326.32504536535
21,1255.89328519672,1667.53384776184
22,1681.64572772824,1916.0385325784
23,1221.37413207112,1352.83101824124
24,1651.98365212739,1085.0706370197
25,1400.00211999583,1867.54352427533
26,1219.29832319916,1390.9608732739
27,1303.08398678461,1399.82519042906
28,1294.15377157901,1547.04892610065
29,1205.50785381071,1416.32952844649
30,1409.14180419823,1570.72346188691
31,1356.42651513291,1705.20550258028
32,1181.05741606358,1381.1425834717
33,1360.42550173694,1504.44525124833
34,1376.58897688241,1705.01472357617
