"TrialNum","C7_to_A","S2_to_A","C7_to_B","S2_to_B","MeanToA","MeanToB"
5,1686.758731023,1457.43595318726,1647.34049468865,1338.12620561259,1572.09734210513,1492.73335015062
6,1426.21681633306,1061.08744449182,1749.8673726508,1513.0757715621,1243.65213041244,1631.47157210645
7,1520.90141777183,1156.20361536096,1736.88916119178,1493.25271212918,1338.5525165664,1615.07093666048
8,1703.03760287318,1440.0054924483,1564.51399032913,1233.16064644675,1571.52154766074,1398.83731838794
9,1496.24833551404,1133.73944377444,1689.91220423492,1463.22883956081,1314.99388964424,1576.57052189787
10,1433.70390357077,1056.90129376767,1656.77724998774,1405.97514848995,1245.30259866922,1531.37619923884
11,1967.62248016688,1741.76725778452,1538.18251561247,1214.35188152915,1854.6948689757,1376.26719857081
12,1404.10743461355,1011.40918447992,1706.66942222734,1464.24681024492,1207.75830954674,1585.45811623613
13,1458.17391171456,1079.22715413234,1710.29388576958,1472.28910976108,1268.70053292345,1591.29149776533
14,1494.38210292875,1229.04537912339,1602.82383363375,1247.55035464351,1361.71374102607,1425.18709413863
15,1396.73518465359,1003.36960810355,1582.29496276803,1329.38012993869,1200.05239637857,1455.83754635336
16,1325.21953454238,924.356727416114,1700.99631704059,1512.70856990848,1124.78813097925,1606.85244347453
17,1814.0750914465,1641.65215685105,1494.61495769105,1150.73394943836,1727.86362414878,1322.67445356471
18,1339.80335866169,1076.83987472014,1724.82047022205,1361.37929849193,1208.32161669092,1543.09988435699
19,1422.71154523578,1066.00735662305,1699.14511252113,1463.54350539952,1244.35945092941,1581.34430896033
20,1695.21916265464,1488.58876986182,1515.97881115912,1176.33559891632,1591.90396625823,1346.15720503772
21,1489.03111166439,1214.81240372005,1703.12599173903,1497.53882726866,1351.92175769222,1600.33240950384
22,1429.13559738419,1039.84920862274,1575.17310576101,1328.95366018273,1234.49240300346,1452.06338297187
23,1875.06355664896,1703.57347943836,1511.73583099439,1197.79939180836,1789.31851804366,1354.76761140138
24,1326.05061558962,929.731404138594,1697.42614337919,1465.77660551536,1127.89100986411,1581.60137444727
25,1490.91585794123,1117.77212775811,1658.90828094263,1437.60580188843,1304.34399284967,1548.25704141553
26,1504.09910324621,1243.07367283565,1556.68881954583,1203.21242026774,1373.58638804093,1379.95061990678
27,1391.51982374983,995.270066194636,1576.62508397533,1314.25766358681,1193.39494497223,1445.44137378107
28,1443.54962906206,1043.82274693903,1669.67872384579,1413.0602908236,1243.68618800054,1541.3695073347
29,1455.08573571217,1203.2402481165,1670.99890679338,1354.09611779479,1329.16299191434,1512.54751229409
30,1410.83655377037,1020.60077970899,1668.37702227642,1412.60981868176,1215.71866673968,1540.49342047909
31,1408.60353101158,1020.14585774645,1631.64530201431,1373.92401194891,1214.37469437901,1502.78465698161
32,1490.32635383824,1232.93070109989,1604.00375637912,1248.47360074237,1361.62852746906,1426.23867856074
33,1326.07157950703,908.230626905041,1609.93559436215,1356.07720776721,1117.15110320604,1483.00640106468
34,1405.61304512323,1008.62596602582,1628.12159568737,1358.84030063513,1207.11950557452,1493.48094816125
35,1778.0285545259,1560.31426869608,1545.85377858631,1206.75508263882,1669.17141161099,1376.30443061257
36,1421.27422909037,1041.29014931439,1690.53426463758,1432.628190645,1231.28218920238,1561.58122764129
37,1404.39841683559,1015.58088192212,1706.7340017799,1451.04379147178,1209.98964937886,1578.88889662584
38,1624.52107456161,1438.81214200733,1571.42518925506,1253.45718524672,1531.66660828447,1412.44118725089
39,1415.57990731807,1040.08573566441,1660.89706601508,1407.20836909573,1227.83282149124,1534.05271755541
40,1412.53491905909,1027.45775842266,1596.14364163066,1355.80280630571,1219.99633874088,1475.97322396819
