"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.40506,1089.54553,-1511.88208,NA,NA,NA,NA,NA,NA,-533.6792,847.19885,-1345.60388,NA,NA,NA,-379.14081,994.95117,-1359.57336,NA,NA,NA,-117.12057,416.99774,-1471.89807,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.71955,1089.39563,-1513.65588,NA,NA,NA,NA,NA,NA,-539.26392,842.37781,-1349.54382,NA,NA,NA,-379.3493,994.66925,-1360.69006,NA,NA,NA,-117.7373,416.68628,-1472.16235,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.87815,1089.11108,-1514.83459,NA,NA,NA,NA,NA,NA,-544.86841,839.10608,-1355.75037,NA,NA,NA,-379.61667,994.32892,-1362.12659,NA,NA,NA,-118.93958,416.66721,-1471.92065,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.85732,1089.79517,-1512.81531,NA,NA,NA,NA,NA,NA,-550.04248,835.1864,-1362.01733,NA,NA,NA,-379.83292,994.03473,-1363.28467,NA,NA,NA,-119.78435,415.82813,-1471.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.04369,1089.95081,-1509.76929,NA,NA,NA,NA,NA,NA,-556.31964,831.82104,-1367.44238,NA,NA,NA,-380.54114,993.61359,-1362.47986,NA,NA,NA,-120.35484,415.96014,-1471.948,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.96661,1088.30664,-1513.32251,NA,NA,NA,NA,NA,NA,-561.79132,829.49133,-1374.88257,NA,NA,NA,-380.70764,993.36853,-1363.36743,NA,NA,NA,-121.18913,415.45999,-1471.62341,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.54651,1087.29944,-1517.63867,NA,NA,NA,NA,NA,NA,-567.43091,827.49237,-1380.96289,NA,NA,NA,-381.24292,994.21399,-1363.35999,NA,NA,NA,-121.75548,415.2218,-1472.25037,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.79026,1086.56628,-1513.49512,NA,NA,NA,NA,NA,NA,-573.55713,825.7995,-1386.68445,NA,NA,NA,-381.41046,994.00726,-1364.26013,NA,NA,NA,-122.14807,414.66049,-1473.3877,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62.8008,1087.84375,-1511.57275,NA,NA,NA,NA,NA,NA,-579.67017,821.39789,-1403.29846,NA,NA,NA,-381.65933,993.67822,-1365.59326,NA,NA,NA,-122.6376,414.12833,-1473.02454,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.85135,1087.46521,-1510.69739,NA,NA,NA,NA,NA,NA,-584.68671,823.97186,-1400.04663,NA,NA,NA,-381.8912,993.40326,-1366.84131,NA,NA,NA,-123.31763,413.53754,-1473.26465,NA,NA,NA,NA,NA,NA,NA,NA,NA
