"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left.Elbow_X","Left.Elbow_Y","Left.Elbow_Z","Right.Elbow_X","Right.Elbow_Y","Right.Elbow_Z","Left.Wrist_X","Left.Wrist_Y","Left.Wrist_Z","Right.Wrist_X","Right.Wrist_Y","Right.Wrist_Z","Left.ASIS_X","Left.ASIS_Y","Left.ASIS_Z","Right.ASIS_X","Right.ASIS_Y","Right.ASIS_Z","S2_X","S2_Y","S2_Z","Left.Knee_X","Left.Knee_Y","Left.Knee_Z","Right.Knee_X","Right.Knee_Y","Right.Knee_Z","Left.Ankle_X","Left.Ankle_Y","Left.Ankle_Z","Right.Ankle_X","Right.Ankle_Y","Right.Ankle_Z"
1,0,-329.83502,915.1535,-1525.88574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.9704,1079.17224,-1450.08813,-566.43591,1064.01367,-1350.18604,NA,NA,NA,NA,NA,NA,-221.97861,1020.76733,-1296.05981,NA,NA,NA,NA,NA,NA,-110.25092,425.81342,-1398.38611,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.01,-328.88654,915.37268,-1527.02771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.95351,1079.07593,-1451.34338,-566.37079,1064.05969,-1349.87769,NA,NA,NA,NA,NA,NA,-221.87114,1021.0282,-1295.41992,NA,NA,NA,NA,NA,NA,-109.17329,426.41489,-1401.31873,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.02,-327.93344,915.61786,-1528.15161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.5931,1079.73352,-1449.17578,-566.32239,1064.05847,-1349.6405,NA,NA,NA,NA,NA,NA,-221.22845,1021.15479,-1296.92297,NA,NA,NA,NA,NA,NA,-108.87543,425.94141,-1401.88684,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.03,-326.9881,915.59174,-1529.02222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.26147,1080.24109,-1447.91614,-567.55005,1067.69031,-1337.74597,NA,NA,NA,NA,NA,NA,-221.1413,1021.33679,-1296.39893,NA,NA,NA,NA,NA,NA,-108.72739,425.62921,-1402.33984,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.04,-325.95618,915.47223,-1529.54053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.02179,1080.83923,-1448.07959,-565.86823,1064.2948,-1347.47156,NA,NA,NA,NA,NA,NA,-220.5838,1020.64618,-1297.01538,NA,NA,NA,NA,NA,NA,-108.12934,425.96268,-1403.55835,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.05,-325.05954,915.39368,-1530.4353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.19655,1081.84521,-1447.15955,-565.34027,1062.84253,-1346.72095,NA,NA,NA,NA,NA,NA,-220.50671,1020.75067,-1296.54297,NA,NA,NA,NA,NA,NA,-108.02353,425.91086,-1403.50378,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.06,-324.21497,915.23016,-1531.08398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.75116,1081.79565,-1445.547,-564.77844,1063.3429,-1344.08582,NA,NA,NA,NA,NA,NA,-220.38625,1020.93085,-1295.80737,NA,NA,NA,NA,NA,NA,-106.35281,426.37927,-1405.58984,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.07,-323.27176,915.33594,-1532.23743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.59394,1082.05188,-1444.68188,-564.43866,1063.64478,-1342.49219,NA,NA,NA,NA,NA,NA,-219.38287,1020.41443,-1297.62061,NA,NA,NA,NA,NA,NA,-106.41223,426.08667,-1406.33191,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.08,-322.43137,915.21802,-1532.68188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.03204,1082.60645,-1441.67065,-562.93555,1061.72742,-1346.1405,NA,NA,NA,NA,NA,NA,-218.4807,1020.40887,-1299.02722,NA,NA,NA,NA,NA,NA,-105.77353,426.49536,-1407.91321,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.09,-321.62,915.36353,-1533.70239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.96719,1083.04431,-1440.86755,-562.54083,1061.33179,-1345.0011,NA,NA,NA,NA,NA,NA,-217.73875,1019.57751,-1300.16675,NA,NA,NA,NA,NA,NA,-105.41024,425.58264,-1408.08923,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.1,-320.80139,915.13239,-1533.91101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.99965,1083.67163,-1440.09741,-561.78619,1060.66956,-1345.71423,NA,NA,NA,NA,NA,NA,-216.1315,1019.00165,-1303.57971,NA,NA,NA,NA,NA,NA,-105.41024,425.58264,-1408.08923,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.11,-320.07971,915.11664,-1534.55676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.65732,1084.22876,-1437.54236,-560.96515,1059.57251,-1346.20703,NA,NA,NA,NA,NA,NA,-215.9649,1019.33521,-1302.56921,NA,NA,NA,NA,NA,NA,-104.80476,426.01505,-1409.755,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.12,-319.41266,915.17188,-1535.04822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.77753,1084.30115,-1436.17639,-560.28442,1058.97998,-1346.13916,NA,NA,NA,NA,NA,NA,-215.72591,1019.69794,-1301.10266,NA,NA,NA,NA,NA,NA,-104.86801,425.93692,-1410.02905,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.13,-318.65079,915.18744,-1535.57129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.78627,1083.9928,-1437.8728,-559.62213,1062.52576,-1334.32874,NA,NA,NA,NA,NA,NA,-215.63979,1019.86212,-1300.5791,NA,NA,NA,NA,NA,NA,-103.3168,426.46136,-1411.70154,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.14,-317.81683,915.10461,-1535.71948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.29513,1084.52026,-1434.86548,-558.2453,1059.07031,-1346.97607,NA,NA,NA,NA,NA,NA,-215.5591,1019.9599,-1300.08032,NA,NA,NA,NA,NA,NA,-102.24407,425.99966,-1412.85474,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.15,-317.20712,915.27765,-1536.42871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.91238,1084.74792,-1433.51636,-556.7774,1059.83936,-1347.54614,NA,NA,NA,NA,NA,NA,-215.39574,1020.2597,-1299.08557,NA,NA,NA,NA,NA,NA,-102.19731,425.77252,-1413.28369,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.16,-316.38586,915.33459,-1536.90833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.61694,1084.4635,-1436.32202,-555.56708,1062.63647,-1337.09424,NA,NA,NA,NA,NA,NA,-213.28246,1018.46594,-1305.09607,NA,NA,NA,NA,NA,NA,-101.98667,425.633,-1413.25671,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.17,-315.54773,915.43646,-1537.58337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.35719,1084.86487,-1434.62463,-554.58649,1059.56555,-1347.31531,NA,NA,NA,NA,NA,NA,-213.14006,1018.7876,-1304.23486,NA,NA,NA,NA,NA,NA,-101.07832,424.3765,-1412.27844,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.18,-314.70041,915.4425,-1537.82581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.17463,1084.87219,-1434.05103,-553.03131,1063.20813,-1340.15417,NA,NA,NA,NA,NA,NA,-213.04166,1018.95551,-1303.63184,NA,NA,NA,NA,NA,NA,-100.96966,424.39041,-1412.07397,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.19,-313.7522,915.40979,-1538.23206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.02686,1084.85498,-1433.57886,-552.94525,1060.92114,-1347.79272,NA,NA,NA,NA,NA,NA,-212.97987,1019.0686,-1303.25427,NA,NA,NA,NA,NA,NA,-100.09175,424.92871,-1412.89709,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.2,-312.6441,915.18518,-1537.94275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.75437,1084.75159,-1432.65479,-551.28314,1060.36914,-1352.17981,NA,NA,NA,NA,NA,NA,-212.94826,1019.11115,-1303.05896,NA,NA,NA,NA,NA,NA,-99.29733,425.59814,-1413.94946,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.21,-311.68774,915.32458,-1538.72375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.53502,1084.87976,-1431.31055,-550.42194,1060.51001,-1353.53821,NA,NA,NA,NA,NA,NA,-212.92249,1019.1441,-1302.89941,NA,NA,NA,NA,NA,NA,-97.95206,425.58072,-1413.67908,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.22,-310.58029,915.39264,-1539.43652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.39346,1083.90088,-1431.62817,-548.53406,1063.8562,-1345.09082,NA,NA,NA,NA,NA,NA,-212.8927,1019.1579,-1302.71167,NA,NA,NA,NA,NA,NA,-97.82265,425.66211,-1413.29163,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.23,-309.47308,915.51587,-1540.03992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50.46024,1083.5708,-1432.73926,-547.96338,1063.87646,-1345.63843,NA,NA,NA,NA,NA,NA,-212.89227,1019.15784,-1302.70886,NA,NA,NA,NA,NA,NA,-97.5135,425.73416,-1412.63843,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.24,-308.34518,915.7193,-1540.74438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50.1481,1083.64551,-1430.96545,-547.39673,1063.93054,-1346.04858,NA,NA,NA,NA,NA,NA,-212.88911,1019.13348,-1302.68518,NA,NA,NA,NA,NA,NA,-97.31232,425.75992,-1412.26062,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.25,-307.24173,915.51416,-1540.71387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.9187,1083.64429,-1430.12012,-546.58984,1064.83252,-1348.53516,NA,NA,NA,NA,NA,NA,-212.86742,1019.08514,-1302.53992,NA,NA,NA,NA,NA,NA,-96.91191,425.495,-1412.21326,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.26,-306.27438,915.67957,-1541.24133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.75941,1083.16528,-1430.38208,-546.43475,1061.62573,-1362.68835,NA,NA,NA,NA,NA,NA,-212.83102,1019.10156,-1302.3103,NA,NA,NA,NA,NA,NA,-96.77695,425.63885,-1411.67883,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.27,-305.18951,915.73743,-1541.83447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.55356,1082.60449,-1429.52478,-544.36139,1065.09338,-1350.84009,NA,NA,NA,NA,NA,NA,-212.75934,1019.17584,-1301.86401,NA,NA,NA,NA,NA,NA,-97.81332,423.92871,-1408.27661,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.28,-304.39093,915.84229,-1542.47961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.18663,1081.78442,-1429.82068,-543.36847,1065.16016,-1351.36841,NA,NA,NA,NA,NA,NA,-212.14661,1018.08801,-1303.79846,NA,NA,NA,NA,NA,NA,-97.30658,423.97748,-1407.45508,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.29,-303.46472,915.76538,-1542.88232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.06652,1081.65161,-1430.375,-542.44373,1065.55432,-1352.39063,NA,NA,NA,NA,NA,NA,-210.69902,1017.24536,-1308.21826,NA,NA,NA,NA,NA,NA,-96.56668,423.64227,-1407.42957,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.3,-302.57269,915.7337,-1543.04785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.79275,1081.70386,-1428.48401,-541.3349,1065.48853,-1352.6908,NA,NA,NA,NA,NA,NA,-210.69637,1017.1745,-1308.19104,NA,NA,NA,NA,NA,NA,-96.45662,423.5994,-1407.35107,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.31,-301.82651,915.48779,-1543.1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.93121,1080.70349,-1428.43591,-540.61713,1065.9845,-1353.90015,NA,NA,NA,NA,NA,NA,-210.58549,1017.33679,-1307.50562,NA,NA,NA,NA,NA,NA,-96.17503,423.81976,-1406.41614,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.32,-301.09668,915.32092,-1543.42749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.60966,1080.20142,-1427.65698,-539.61597,1065.96716,-1354.23999,NA,NA,NA,NA,NA,NA,-210.53726,1017.4201,-1307.20935,NA,NA,NA,NA,NA,NA,-95.53393,423.83084,-1405.38171,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.33,-300.42828,915.38788,-1544.21985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.05533,1080.02734,-1431.15405,-538.66882,1066.26208,-1355.07373,NA,NA,NA,NA,NA,NA,-210.49707,1017.51788,-1306.96643,NA,NA,NA,NA,NA,NA,-94.92741,423.61707,-1405.29578,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.34,-299.80811,915.05701,-1544.33533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.42731,1078.95996,-1427.93005,-537.10596,1066.19824,-1355.97925,NA,NA,NA,NA,NA,NA,-210.50204,1017.47009,-1306.99133,NA,NA,NA,NA,NA,NA,-94.30766,423.30096,-1403.95837,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.35,-299.2771,914.84882,-1544.63818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.91003,1078.9707,-1425.70288,-536.43793,1066.25806,-1355.72876,NA,NA,NA,NA,NA,NA,-210.492,1017.49036,-1306.93018,NA,NA,NA,NA,NA,NA,-93.75661,422.88486,-1402.06238,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.36,-298.74664,914.97693,-1545.28918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.62245,1078.82373,-1424.77905,-535.79285,1066.31897,-1355.50171,NA,NA,NA,NA,NA,NA,-210.53279,1017.36963,-1307.17334,NA,NA,NA,NA,NA,NA,-93.30477,422.84583,-1401.44116,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.37,-298.04709,914.97491,-1545.65186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.14388,1078.40479,-1423.79407,-536.30652,1064.3175,-1367.17542,NA,NA,NA,NA,NA,NA,-210.56676,1017.2998,-1307.38037,NA,NA,NA,NA,NA,NA,-92.27698,423.06775,-1401.16711,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.38,-297.4245,915.1568,-1546.38611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.83353,1078.44897,-1422.62585,-533.42395,1067.79626,-1358.30518,NA,NA,NA,NA,NA,NA,-210.65352,1017.0614,-1307.90039,NA,NA,NA,NA,NA,NA,-92.26421,422.32202,-1399.46814,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.39,-296.90128,915.16736,-1546.70459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.56524,1077.36316,-1422.67542,-532.78369,1067.9281,-1357.91882,NA,NA,NA,NA,NA,NA,-210.8253,1016.74481,-1308.95276,NA,NA,NA,NA,NA,NA,-92.39083,421.55835,-1398.02808,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.4,-296.37424,915.32593,-1547.3219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.3945,1077.38379,-1421.86707,-531.62811,1065.25354,-1370.0509,NA,NA,NA,NA,NA,NA,-211.56258,1016.4397,-1308.0033,NA,NA,NA,NA,NA,NA,-91.96277,421.61435,-1397.23499,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.41,-295.79813,915.52368,-1547.97314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.34647,1077.05762,-1422.48267,-530.65765,1066.24402,-1369.47791,NA,NA,NA,NA,NA,NA,-212.60973,1016.88727,-1306.57898,NA,NA,NA,NA,NA,NA,-91.1762,421.64111,-1397.7699,NA,NA,NA,NA,NA,NA,NA,NA,NA
