"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","","","","","","","","","","-179.22275","955.56793","-1617.81116","","","","-219.12799","770.42975","-1533.98132","","","","-320.38535","806.21259","-1574.94873","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
2,0.01,"","","","","","","","","","","","","","","","","","","","","","","","","-181.83856","956.41492","-1616.02307","","","","-221.81952","772.04004","-1526.65344","","","","-321.47958","806.03815","-1574.61304","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
3,0.02,"","","","","","","","","","","","","","","","","","","","","","","","","-183.39696","956.51288","-1612.77307","","","","-222.72000","771.45953","-1526.89099","","","","-323.74625","807.48456","-1571.98413","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
4,0.03,"","","","","","","","","","","","","","","","","","","","","","","","","-186.38507","957.61023","-1610.74451","","","","-225.55153","772.49860","-1520.97327","","","","-326.09610","808.13629","-1570.59229","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
5,0.04,"","","","","","","","","","","","","","","","","","","","","","","","","-187.64714","957.79553","-1606.98376","","","","-228.16801","772.76532","-1518.58533","","","","-328.01321","807.78741","-1569.32654","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
6,0.05,"","","","","","","","","","","","","","","","","","","","","","","","","-188.89328","958.01776","-1603.56738","","","","-230.43250","772.60699","-1517.55359","","","","-330.09778","810.44208","-1564.12012","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
7,0.06,"","","","","","","","","","","","","","","","","","","","","","","","","-192.01604","958.48285","-1599.56165","","","","-231.72900","772.31653","-1517.51477","","","","-331.71481","811.42847","-1559.64148","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
8,0.07,"","","","","","","","","","","","","","","","","","","","","","","","","-193.41531","958.72388","-1595.87219","","","","-233.35060","771.24170","-1512.91748","","","","-333.57764","812.99097","-1553.35376","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
9,0.08,"","","","","","","","","","","","","","","","","","","","","","","","","-194.84921","959.36597","-1592.63391","","","","-235.02669","772.95282","-1508.09460","","","","-335.91232","814.71143","-1545.17529","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
10,0.09,"","","","","","","","","","","","","","","","","","","","","","","","","-196.69855","959.41992","-1587.97620","","","","-236.88666","774.13251","-1500.96460","","","","-336.74875","814.21552","-1545.01196","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
11,0.1,"","","","","","","","","","","","","","","","","","","","","","","","","-197.46272","960.12891","-1584.64978","","","","-237.41202","774.63464","-1499.16052","","","","-339.97638","815.29700","-1537.00940","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
12,0.11,"","","","","","","","","","","","","","","","","","","","","","","","","-198.59866","960.68463","-1581.07324","","","","-238.77818","774.11804","-1493.20911","","","","-341.96823","814.88647","-1535.64038","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
13,0.12,"","","","","","","","","","","","","","","","","","","","","","","","","-198.74409","957.97070","-1571.04016","","","","-238.88409","773.33398","-1492.11743","","","","-343.50732","815.26929","-1533.42639","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
14,0.13,"","","","","","","","","","","","","","","","","","","","","","","","","-200.71167","959.09845","-1568.59937","","","","-239.64999","772.56342","-1488.01233","","","","-346.15887","815.36676","-1525.35132","","","","","","","","","","","","","","","","","","",NA,"P3",5,3
