"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.22849,739.99066,-1634.91748,NA,NA,NA,-48.29396,852.45215,-1565.50537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.47627,53.78014,-1703.3761,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.32404,740.42267,-1633.82861,NA,NA,NA,-49.10077,852.71045,-1563.15442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.41791,53.89038,-1703.17493,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.16272,741.12646,-1634.09888,NA,NA,NA,-49.14213,852.57629,-1563.4436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.41791,53.89038,-1703.17493,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.41815,741.25891,-1632.76733,NA,NA,NA,-49.18354,852.45941,-1563.73486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.25993,53.91284,-1703.26331,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.02458,742.22516,-1633.44556,NA,NA,NA,-49.21013,852.37329,-1563.92065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.25993,53.91284,-1703.26331,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.12663,742.33716,-1632.42468,NA,NA,NA,-49.42085,851.71899,-1563.38721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1061,53.88553,-1703.46216,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.39905,742.59479,-1631.16797,NA,NA,NA,-49.45508,851.62915,-1563.62866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.15582,53.77279,-1703.67651,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.8745,742.22278,-1629.59546,NA,NA,NA,-49.47247,851.56274,-1563.74927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.15582,53.77279,-1703.67651,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.84895,742.46558,-1628.65808,NA,NA,NA,-49.49268,851.48102,-1563.88904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.15582,53.77279,-1703.67651,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.20668,742.33911,-1626.47949,NA,NA,NA,-49.51423,851.4339,-1564.04199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.15582,53.77279,-1703.67651,NA,NA,NA
