"Frame","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z"
1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.16128,1048.71936,-1320.17212,-261.30429,899.08081,-1546.26672,-415.46265,987.27997,-1331.6582,NA,NA,NA,-292.68619,1001.72607,-1289.23999,NA,NA,NA,NA,NA,NA,-102.52287,401.58279,-1394.26953,NA,NA,NA,-63.61609,49.94672,-1458.19043,NA,NA,NA
2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.06191,1047.78137,-1315.57581,-265.45203,897.77649,-1541.20044,-420.50558,987.02637,-1322.59814,NA,NA,NA,-296.37366,1000.8103,-1284.86072,NA,NA,NA,NA,NA,NA,-103.54586,401.00418,-1392.52795,NA,NA,NA,-65.17937,48.8199,-1456.17932,NA,NA,NA
3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.93265,1046.45447,-1311.94165,-269.61295,896.50165,-1535.95935,-424.59171,984.37903,-1320.11267,NA,NA,NA,-301.33234,998.17676,-1278.82019,NA,NA,NA,NA,NA,NA,-104.61478,401.24277,-1390.3374,NA,NA,NA,-66.04761,48.00939,-1453.55042,NA,NA,NA
4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.33902,1044.14563,-1307.76135,-273.8367,895.26471,-1530.58142,-429.71539,983.3371,-1316.24182,NA,NA,NA,-306.95508,997.88019,-1274.34241,NA,NA,NA,NA,NA,NA,-107.56241,399.43277,-1385.55725,NA,NA,NA,-67.49953,48.37882,-1453.047,NA,NA,NA
5,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.00179,1043.30493,-1302.12781,-278.21106,894.02454,-1525.13599,-433.95782,979.29596,-1313.28687,NA,NA,NA,-311.77026,995.83636,-1268.59814,NA,NA,NA,NA,NA,NA,-108.91084,399.61237,-1382.69568,NA,NA,NA,-69.98519,45.90905,-1449.96948,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.82695,1042.20764,-1296.70166,-282.836,892.81097,-1519.70569,-439.70798,979.15613,-1309.27417,NA,NA,NA,-317.65741,993.49194,-1263.6842,NA,NA,NA,NA,NA,NA,-110.04234,398.77325,-1380.13794,NA,NA,NA,-72.16795,45.6556,-1447.23352,NA,NA,NA
7,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.17856,1040.75476,-1291.74573,-287.69867,891.52515,-1513.87183,-445.37589,977.38739,-1302.38403,NA,NA,NA,-323.21149,992.72015,-1256.64075,NA,NA,NA,NA,NA,NA,-112.48401,397.40982,-1374.52393,NA,NA,NA,-73.57262,45.29837,-1446.9679,NA,NA,NA
8,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.79508,1039.20044,-1288.50684,-292.9595,890.82202,-1509.1355,-451.52451,975.49957,-1299.74988,NA,NA,NA,-329.41974,990.20538,-1252.5896,NA,NA,NA,NA,NA,NA,-114.04777,397.56546,-1371.95227,NA,NA,NA,-74.70487,45.02366,-1446.25269,NA,NA,NA
9,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.33361,1037.88672,-1283.90552,-298.43564,889.72321,-1503.31787,-458.60959,975.89771,-1288.35291,NA,NA,NA,-335.85458,988.87866,-1244.93311,NA,NA,NA,NA,NA,NA,-116.11163,396.86285,-1367.10522,NA,NA,NA,-78.51817,45.53268,-1445.07202,NA,NA,NA
10,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.21628,1036.39038,-1277.67578,-304.31238,888.73932,-1497.42395,-465.52954,973.83051,-1284.4718,NA,NA,NA,-342.63324,987.52277,-1239.29907,NA,NA,NA,NA,NA,NA,-119.178,395.0607,-1361.56738,NA,NA,NA,-79.60735,45.44183,-1444.18921,NA,NA,NA
11,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.00111,1035.68896,-1271.97009,-310.60577,887.91107,-1492.05835,-472.24377,973.54401,-1276.45374,NA,NA,NA,-349.85464,985.65961,-1229.02808,NA,NA,NA,NA,NA,NA,-121.17607,395.02597,-1358.54395,NA,NA,NA,-83.18446,44.78385,-1442.0575,NA,NA,NA
12,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.78209,1034.98608,-1265.93506,-317.38644,886.54797,-1485.71851,-478.93637,971.63861,-1271.33508,NA,NA,NA,-356.26163,983.63605,-1227.59399,NA,NA,NA,NA,NA,NA,-125.43749,394.52383,-1352.62012,NA,NA,NA,-85.74422,43.1606,-1439.94873,NA,NA,NA
13,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.50009,1033.27563,-1260.12866,-324.46069,885.74695,-1479.79797,-485.90408,970.26422,-1269.19775,NA,NA,NA,-362.40652,981.44495,-1224.65332,NA,NA,NA,NA,NA,NA,-129.06705,393.83453,-1349.38794,NA,NA,NA,-88.01605,43.86491,-1439.59045,NA,NA,NA
14,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-134.56702,1032.46094,-1254.41382,-331.96445,884.96075,-1473.96155,-493.26538,969.57629,-1258.99573,NA,NA,NA,-370.11249,979.41852,-1217.24341,NA,NA,NA,NA,NA,NA,-134.19698,393.48807,-1344.60303,NA,NA,NA,-91.78196,44.27731,-1438.54785,NA,NA,NA
15,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-139.79909,1030.60767,-1247.78125,-339.91861,884.22229,-1468.14478,-501.70602,968.65375,-1251.83997,NA,NA,NA,-378.45905,979.20642,-1205.46509,NA,NA,NA,NA,NA,NA,-140.26793,391.88522,-1339.27979,NA,NA,NA,-93.19024,45.57046,-1438.25122,NA,NA,NA
16,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-145.56351,1030.04614,-1243.16956,-348.28226,882.97455,-1461.51416,-508.95154,966.64044,-1249.84082,NA,NA,NA,-385.44437,978.49622,-1195.77075,NA,NA,NA,NA,NA,NA,-146.75793,390.25409,-1334.09229,NA,NA,NA,-95.96138,46.44562,-1438.52637,NA,NA,NA
17,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-151.00809,1028.79089,-1236.74207,-357.02063,882.08722,-1455.3656,-518.11926,967.00958,-1238.2594,NA,NA,NA,-394.3226,975.95642,-1190.50171,NA,NA,NA,NA,NA,NA,-154.38112,390.01608,-1330.31592,NA,NA,NA,-98.82921,47.01373,-1437.23755,NA,NA,NA
