"Frame#","Time","Headset_Front_X","Headset_Front_Y","Headset_Front_Z","Headset_Back_X","Headset_Back_Y","Headset_Back_Z","Headset_Left_X","Headset_Left_Y","Headset_Left_Z","Headset_Right_X","Headset_Right_Y","Headset_Right_Z","Left_Shoulder_X","Left_Shoulder_Y","Left_Shoulder_Z","Right_Shoulder_X","Right_Shoulder_Y","Right_Shoulder_Z","Sternum_X","Sternum_Y","Sternum_Z","C7_X","C7_Y","C7_Z","Left Elbow_X","Left Elbow_Y","Left Elbow_Z","Right Elbow_X","Right Elbow_Y","Right Elbow_Z","Left Wrist_X","Left Wrist_Y","Left Wrist_Z","Right Wrist_X","Right Wrist_Y","Right Wrist_Z","Left ASIS_X","Left ASIS_Y","Left ASIS_Z","Right ASIS_X","Right ASIS_Y","Right ASIS_Z","S2_X","S2_Y","S2_Z","Left Knee_X","Left Knee_Y","Left Knee_Z","Right Knee_X","Right Knee_Y","Right Knee_Z","Left Ankle_X","Left Ankle_Y","Left Ankle_Z","Right Ankle_X","Right Ankle_Y","Right Ankle_Z","NA_C60","Participant","TrialNum","VisibleMarkers"
1,0,"","","","","","","","","","","","","","","","-22.02613","1405.88196","2588.35571","","","","","","","","","","66.93677","1061.75830","2606.51001","","","","","","","","","","-189.18867","1004.91516","2685.14771","","","","","","","-19.57839","505.28354","2518.96021","","","","-14.39759","181.56892","2619.82764",NA,"P3",18,5
2,0.01,"","","","","","","","","","","","","","","","-22.64273","1406.38367","2587.28247","","","","","","","","","","66.08132","1062.33728","2608.24121","","","","","","","","","","-190.17212","1005.04156","2684.45630","","","","","","","-18.45364","504.67456","2515.00562","","","","-14.40115","183.35214","2617.63062",NA,"P3",18,5
3,0.02,"","","","","","","","","","","","","","","","-22.75355","1406.35693","2585.97681","","","","","","","","","","65.54042","1062.64014","2609.75098","","","","","","","","","","-190.90895","1005.26001","2684.02905","","","","","","","-17.12115","504.74268","2510.61279","","","","-13.70483","184.80482","2617.26782",NA,"P3",18,5
4,0.03,"","","","","","","","","","","","","","","","-23.19601","1406.52209","2583.64453","","","","","","","","","","65.25847","1062.89001","2610.93774","","","","","","","","","","-191.58037","1006.02209","2684.03003","","","","","","","-16.62679","506.16992","2504.29053","","","","-13.87356","186.01422","2615.71069",NA,"P3",18,5
5,0.04,"","","","","","","","","","","","","","","","-23.88618","1406.57825","2581.69824","","","","","","","","","","64.82349","1063.35144","2612.05249","","","","","","","","","","-192.31842","1006.09003","2683.54395","","","","","","","-15.37652","506.98651","2499.27100","","","","-13.76856","187.41106","2613.01685",NA,"P3",18,5
6,0.05,"","","","","","","","","","","","","","","","-23.75481","1406.84399","2580.14551","","","","","","","","","","64.63738","1063.87866","2612.58447","","","","","","","","","","-193.13390","1005.73621","2681.95996","","","","","","","-13.61704","507.37253","2494.56689","","","","-12.50300","188.31300","2612.83716",NA,"P3",18,5
7,0.06,"","","","","","","","","","","","","","","","-24.17253","1407.27307","2578.20459","","","","","","","","","","64.28574","1064.63135","2613.81030","","","","","","","","","","-194.31258","1006.19025","2681.34131","","","","","","","-11.30191","507.80557","2489.97192","","","","-12.20161","190.69763","2610.07666",NA,"P3",18,5
8,0.07,"","","","","","","","","","","","","","","","-24.53973","1407.75037","2575.71069","","","","","","","","","","64.07820","1065.40906","2614.68945","","","","","","","","","","-194.67618","1006.42303","2680.65015","","","","","","","-9.09355","509.09833","2484.39868","","","","-10.87046","193.82065","2609.54517",NA,"P3",18,5
9,0.08,"","","","","","","","","","","","","","","","-24.29650","1408.32422","2573.67456","","","","","","","","","","64.00425","1066.23901","2615.13452","","","","","","","","","","-195.43475","1007.20294","2679.90845","","","","","","","-7.14471","510.67105","2479.21484","","","","-10.50722","196.07961","2606.37231",NA,"P3",18,5
10,0.09,"","","","","","","","","","","","","","","","-24.17135","1408.35986","2571.95850","","","","","","","","","","64.05953","1067.16833","2615.41187","","","","","","","","","","-196.15956","1007.50494","2678.53491","","","","","","","-5.63521","511.91168","2472.69263","","","","-10.47863","197.91580","2602.64136",NA,"P3",18,5
