Frame#,Time,Headset_Front,Headset_Front_X,Headset_Front_X_X,Headset_Back,Headset_Back_X,Headset_Back_X_X,Headset_Left,Headset_Left_X,Headset_Left_X_X,Headset_Right,Headset_Right_X,Headset_Right_X_X,Left_Shoulder,Left_Shoulder_X,Left_Shoulder_X_X,Right_Shoulder,Right_Shoulder_X,Right_Shoulder_X_X,Sternum,Sternum_X,Sternum_X_X,C7,C7_X,C7_X_X,Left Elbow,Left Elbow_X,Left Elbow_X_X,Right Elbow,Right Elbow_X,Right Elbow_X_X,Left Wrist,Left Wrist_X,Left Wrist_X_X,Right Wrist,Right Wrist_X,Right Wrist_X_X,Left ASIS,Left ASIS_X,Left ASIS_X_X,Right ASIS,Right ASIS_X,Right ASIS_X_X,S2,S2_X,S2_X_X,Left Knee,Left Knee_X,Left Knee_X_X,Right Knee,Right Knee_X,Right Knee_X_X,Left Ankle,Left Ankle_X,Left Ankle_X_X,Right Ankle,Right Ankle_X,Right Ankle_X_X,Right Ankle_X_X_X,Participant,TrialNum
NA,NA,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,NA,P5,35
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.85776,1312.35596,1684.25989,,,,-168.63776,1293.20178,1440.23254,,,,,,,,,,,,,-248.19257,540.72595,1849.68738,,,,-259.36639,138.00716,1935.71814,NA,P5,35
2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.87511,1312.21375,1679.57349,,,,-169.32872,1292.64404,1437.06067,,,,,,,,,,,,,-246.30159,539.59814,1849.91516,,,,-258.92764,138.37120,1935.11511,NA,P5,35
3,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.13412,1311.86633,1674.62097,,,,-169.88750,1291.82349,1433.52856,,,,,,,,,,,,,-244.24303,540.24646,1846.46155,,,,-258.90717,138.38017,1934.95740,NA,P5,35
4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.81161,1311.12512,1672.74060,,,,-171.28574,1290.68640,1429.42322,,,,,,,,,,,,,-242.73338,540.95996,1843.23877,,,,-258.88748,138.24727,1935.07227,NA,P5,35
5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.63981,1311.02417,1668.83728,,,,-171.24603,1290.86389,1426.37280,,,,,,,,,,,,,-240.94298,541.04114,1841.34717,,,,-258.67776,138.33812,1934.74829,NA,P5,35
6,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92.47249,1310.30750,1665.56995,,,,-172.54472,1288.82703,1423.10413,,,,,,,,,,,,,-239.83076,540.85583,1838.25854,,,,-258.57312,138.32516,1934.68542,NA,P5,35
7,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93.46249,1309.71497,1661.61755,,,,-174.08949,1287.81665,1420.27417,,,,,,,,,,,,,-238.85577,540.62030,1837.18555,,,,-258.46594,138.36601,1934.68127,NA,P5,35
8,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,-94.54639,1308.87146,1657.93848,,,,-174.47072,1287.04797,1417.17480,,,,,,,,,,,,,-238.21002,540.55743,1835.00415,,,,-258.43295,138.26544,1934.76953,NA,P5,35
9,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.49203,1308.01184,1655.65332,,,,-175.68713,1285.19031,1414.12402,,,,-303.92728,999.26379,1739.55908,,,,,,,-237.02521,542.07123,1830.35303,,,,-258.45554,138.14287,1935.00708,NA,P5,35
10,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96.54342,1306.96436,1652.93127,,,,-176.84201,1284.27344,1411.79871,,,,-304.99963,997.97675,1736.07288,,,,,,,-236.34712,540.88953,1827.02356,,,,-258.43619,138.16464,1935.02051,NA,P5,35
11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-97.53970,1305.71436,1649.84375,,,,-176.98483,1282.94910,1408.36206,,,,-305.81827,997.56842,1732.21851,,,,,,,-236.03758,539.84320,1826.18384,,,,-258.42178,138.21770,1935.07617,NA,P5,35
12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.17780,1304.84155,1647.72375,,,,-178.06467,1281.72144,1405.06763,,,,-307.82574,996.86292,1729.12402,,,,,,,-235.87962,540.17267,1821.54724,,,,-258.43002,138.21124,1935.09412,NA,P5,35
13,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.17672,1303.58398,1644.61987,,,,-178.09494,1280.23425,1402.86121,,,,-308.80649,995.98230,1726.65613,,,,,,,-235.78856,539.06458,1817.90332,,,,-258.37842,138.20078,1935.07849,NA,P5,35
14,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.27305,1302.28369,1641.37085,,,,-179.12755,1279.10095,1399.34094,,,,-310.17740,995.47034,1725.02454,,,,,,,-235.60524,538.97815,1816.53931,,,,-258.33234,138.22827,1935.07642,NA,P5,35
15,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101.60443,1301.25623,1638.27490,,,,-179.29062,1277.79822,1396.95581,,,,-312.22086,996.03522,1719.44287,,,,,,,-235.73209,537.91656,1811.32666,,,,-258.33606,138.28111,1935.09863,NA,P5,35
16,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.83470,1300.14111,1635.68018,,,,-180.39708,1276.22351,1393.65393,,,,-314.61227,995.98566,1716.81189,,,,,,,-235.88719,537.57904,1810.84668,,,,-258.30917,138.29588,1935.08887,NA,P5,35
17,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,-103.95517,1298.91260,1632.79846,,,,-180.57869,1275.42822,1391.36487,,,,-316.33734,994.72528,1712.25208,,,,,,,-235.78354,537.19092,1804.84155,,,,-258.37296,138.33339,1935.12988,NA,P5,35
18,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,-104.92007,1297.91748,1630.23389,,,,-181.71806,1273.73828,1387.88989,,,,-319.08704,993.87323,1710.56152,,,,,,,-236.25343,537.28613,1800.94263,,,,-258.43933,138.36168,1935.15979,NA,P5,35
19,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,-106.40254,1296.50720,1626.84180,,,,-182.99355,1272.37817,1384.16382,,,,-321.00870,992.96442,1708.59875,,,,,,,-236.72600,537.00342,1798.16687,,,,-258.60779,138.49086,1935.15540,NA,P5,35
20,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.31683,1295.50842,1623.56934,,,,-183.17128,1271.21545,1381.55713,,,,-323.81787,992.20380,1707.37012,,,,,,,-237.39461,536.99591,1794.08850,,,,-258.72119,138.50476,1935.22253,NA,P5,35
