Participant,ConditionKey,ConditionID,Mode,Composition,Collider,mean_AB
P1.2,c1,1,AR,0R2V,1,1402.252609688962
P1.2,c10,10,VR,0R2V,2,1372.9856372791628
P1.2,c11,11,VR,0R2V,0,1449.7430352626154
P1.2,c12,12,VR,0R2V,1,1514.835843421087
P1.2,c2,2,AR,2R0V,0,1424.8954705645738
P1.2,c3,3,AR,1R1V,0,1378.9569972884176
P1.2,c4,4,AR,1R1V,2,1377.7953722616394
P1.2,c5,5,AR,0R2V,0,1425.7617392162563
P1.2,c6,6,AR,2R0V,2,1400.9038324412656
P1.2,c7,7,AR,2R0V,1,1433.8115072514213
P1.2,c8,8,AR,1R1V,1,1401.3397561219665
P1.2,c9,9,AR,0R2V,2,1418.2546149502136
P2,c1,1,AR,0R2V,1,1503.1173473706956
P2,c10,10,VR,0R2V,2,1508.7221753571232
P2,c11,11,VR,0R2V,0,1590.5775440030543
P2,c12,12,VR,0R2V,1,1535.2894716849037
P2,c2,2,AR,2R0V,0,1487.229595826163
P2,c3,3,AR,1R1V,0,1487.3485235085361
P2,c4,4,AR,1R1V,2,1456.2977551756576
P2,c5,5,AR,0R2V,0,1427.5436270095934
P2,c6,6,AR,2R0V,2,1472.1592592459597
P2,c7,7,AR,2R0V,1,1487.6013835866393
P2,c8,8,AR,1R1V,1,1469.8291966924744
P2,c9,9,AR,0R2V,2,1431.4056296836316
P3,c1,1,AR,0R2V,1,1453.70751406191
P3,c10,10,VR,0R2V,2,1404.4546873850832
P3,c11,11,VR,0R2V,0,1469.5552027442527
P3,c12,12,VR,0R2V,1,1475.2666813989802
P3,c2,2,AR,2R0V,0,1456.4120639623886
P3,c3,3,AR,1R1V,0,1409.1940123449149
P3,c4,4,AR,1R1V,2,1454.5430763852314
P3,c5,5,AR,0R2V,0,1380.2149968130218
P3,c6,6,AR,2R0V,2,1476.2025782440678
P3,c7,7,AR,2R0V,1,1456.8502474946722
P3,c8,8,AR,1R1V,1,1455.347269605877
P3,c9,9,AR,0R2V,2,1474.7920892764455
