Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,mean_A,mean_B,mean_AB,mean_AminusB,TrialInBlock
P1.2,1,C7,c1,AR,0R2V,1,1,1409.672829458579,1572.716747435713,1491.194788447146,-163.04391797713402,1
P1.2,1,S2,c1,AR,0R2V,1,1,1219.6482811595747,1398.9095122968743,1309.2788967282245,-179.26123113729955,1
P1.2,2,C7,c1,AR,0R2V,1,1,1272.3938547251455,1680.941888319374,1476.6678715222597,-408.5480335942284,2
P1.2,2,S2,c1,AR,0R2V,1,1,1052.5857336999443,1381.9724393426497,1217.279086521297,-329.38670564270546,2
P1.2,3,C7,c1,AR,0R2V,1,1,1453.7567919880314,1596.992628650672,1525.3747103193518,-143.23583666264062,3
P1.2,3,S2,c1,AR,0R2V,1,1,1175.4815640228671,1611.959045168119,1393.720304595493,-436.4774811452519,3
P1.2,4,C7,c2,AR,2R0V,0,2,1353.9436349925668,1626.1817905832147,1490.0627127878906,-272.2381555906479,1
P1.2,4,S2,c2,AR,2R0V,0,2,1416.5736481442827,1513.4855296105984,1465.0295888774406,-96.91188146631566,1
P1.2,5,C7,c2,AR,2R0V,0,2,1238.8213921309357,1634.9265037171008,1436.8739479240182,-396.1051115861651,2
P1.2,5,S2,c2,AR,2R0V,0,2,941.9427897490312,1460.1483285032036,1201.0455591261175,-518.2055387541724,2
P1.2,6,C7,c2,AR,2R0V,0,2,1359.7885352259582,1594.5777901306826,1477.1831626783205,-234.78925490472443,3
P1.2,6,S2,c2,AR,2R0V,0,2,1284.9812405053972,1673.3744634819136,1479.1778519936554,-388.3932229765164,3
P1.2,7,C7,c3,AR,1R1V,0,3,1322.33976997996,1593.1290440102955,1457.7344069951278,-270.7892740303355,1
P1.2,7,S2,c3,AR,1R1V,0,3,1207.9911881257879,1444.2316361006933,1326.1114121132405,-236.24044797490546,1
P1.2,8,C7,c3,AR,1R1V,0,3,1295.9319679521834,1668.8266036045338,1482.3792857783587,-372.8946356523504,2
P1.2,8,S2,c3,AR,1R1V,0,3,832.7168100287508,1488.1819303548205,1160.4493701917856,-655.4651203260696,2
