Participant,ConditionKey,ConditionID,Mode,Composition,Collider,mean_AB
P1.2,c1,1,AR,0R2V,1,922.233568994836
P1.2,c10,10,VR,0R2V,2,907.240953495801
P1.2,c11,11,VR,0R2V,0,906.6345499340961
P1.2,c12,12,VR,0R2V,1,1025.5870019915321
P1.2,c2,2,AR,2R0V,0,907.5385193270765
P1.2,c3,3,AR,1R1V,0,910.406220436715
P1.2,c4,4,AR,1R1V,2,892.3130496892381
P1.2,c5,5,AR,0R2V,0,897.559320431284
P1.2,c6,6,AR,2R0V,2,899.5872118038676
P1.2,c7,7,AR,2R0V,1,913.3267419050856
P1.2,c8,8,AR,1R1V,1,930.3851367994585
P1.2,c9,9,AR,0R2V,2,924.5362304767565
P2,c1,1,AR,0R2V,1,1017.4000931653984
P2,c10,10,VR,0R2V,2,1047.4704562969187
P2,c11,11,VR,0R2V,0,1044.4794130767575
P2,c12,12,VR,0R2V,1,1071.4395314933236
P2,c2,2,AR,2R0V,0,1015.9614890752634
P2,c3,3,AR,1R1V,0,967.5782642386239
P2,c4,4,AR,1R1V,2,996.2023340662031
P2,c5,5,AR,0R2V,0,973.9982021243769
P2,c6,6,AR,2R0V,2,1069.2539948849014
P2,c7,7,AR,2R0V,1,1004.2169692910604
P2,c8,8,AR,1R1V,1,1033.948257836099
P2,c9,9,AR,0R2V,2,1038.9491927518743
P3,c1,1,AR,0R2V,1,982.486418392821
P3,c10,10,VR,0R2V,2,1008.9465675160856
P3,c11,11,VR,0R2V,0,994.5274953850677
P3,c12,12,VR,0R2V,1,1038.0121474538078
P3,c2,2,AR,2R0V,0,984.7223723210988
P3,c3,3,AR,1R1V,0,975.1748762539368
P3,c4,4,AR,1R1V,2,968.0774987287139
P3,c5,5,AR,0R2V,0,976.4197091216884
P3,c6,6,AR,2R0V,2,960.1376907460195
P3,c7,7,AR,2R0V,1,988.774633980941
P3,c8,8,AR,1R1V,1,980.3477042982711
P3,c9,9,AR,0R2V,2,968.3666587385442
