Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,min_A,min_B,min_AB,min_AminusB,TrialInBlock
P1.2,1,C7,c1,AR,0R2V,1,1,1050.8391998683187,1205.6718373610545,1128.2555186146865,-154.83263749273578,1
P1.2,1,S2,c1,AR,0R2V,1,1,683.7712932364526,952.7256861866014,818.248489711527,-268.95439295014876,1
P1.2,2,C7,c1,AR,0R2V,1,1,1030.8304921425,1005.7662329996784,1018.2983625710892,25.06425914282147,2
P1.2,2,S2,c1,AR,0R2V,1,1,678.6830979434231,643.9517021103795,661.3174000269014,34.73139583304362,2
P1.2,3,C7,c1,AR,0R2V,1,1,1018.1675410389774,1204.236563018701,1111.2020520288393,-186.06902197972352,3
P1.2,3,S2,c1,AR,0R2V,1,1,665.3047775320182,926.8544044999272,796.0795910159727,-261.54962696790903,3
P1.2,4,C7,c2,AR,2R0V,0,2,1025.1362156713483,1178.695445368927,1101.9158305201377,-153.55922969757876,1
P1.2,4,S2,c2,AR,2R0V,0,2,653.6132163074279,894.6089728271742,774.111094567301,-240.99575651974624,1
P1.2,5,C7,c2,AR,2R0V,0,2,1036.645422936877,1019.403187704834,1028.0243053208555,17.242235232042958,2
P1.2,5,S2,c2,AR,2R0V,0,2,621.0032312456627,688.9822791765926,654.9927552111276,-67.97904793092982,2
P1.2,6,C7,c2,AR,2R0V,0,2,1009.6141165708707,1186.9676662760287,1098.2908914234497,-177.353549705158,3
P1.2,6,S2,c2,AR,2R0V,0,2,668.6788746051444,907.1136032340303,787.8962389195874,-238.43472862888586,3
P1.2,7,C7,c3,AR,1R1V,0,3,1024.1971044421373,1168.9373460001332,1096.5672252211352,-144.7402415579959,1
P1.2,7,S2,c3,AR,1R1V,0,3,659.0543455011439,905.4716422485184,782.2629938748312,-246.4172967473745,1
P1.2,8,C7,c3,AR,1R1V,0,3,1015.2650028474901,1017.654856814562,1016.4599298310261,-2.389853967071872,2
P1.2,8,S2,c3,AR,1R1V,0,3,607.3597262495265,768.7126135130065,688.0361698812665,-161.35288726348006,2
P1.2,9,C7,c3,AR,1R1V,0,3,990.4360097372648,1204.7795077605756,1097.6077587489203,-214.34349802331076,3
P1.2,9,S2,c3,AR,1R1V,0,3,644.6296542197457,918.3768359064752,781.5032450631104,-273.7471816867295,3
P1.2,10,C7,c4,AR,1R1V,2,4,1013.4816246345417,1166.632848929073,1090.0572367818072,-153.15122429453118,1
P1.2,10,S2,c4,AR,1R1V,2,4,659.0537898538603,893.7286546408515,776.3912222473559,-234.67486478699118,1
P1.2,11,C7,c4,AR,1R1V,2,4,1002.2925186144607,1011.8154339964133,1007.053976305437,-9.522915381952544,2
P1.2,11,S2,c4,AR,1R1V,2,4,637.5370511876538,638.5839273079488,638.0604892478013,-1.0468761202949963,2
P1.2,12,C7,c4,AR,1R1V,2,4,993.8347400437244,1167.6147716849143,1080.7247558643194,-173.7800316411899,3
P1.2,12,S2,c4,AR,1R1V,2,4,625.888060395468,897.2931749819486,761.5906176887083,-271.40511458648064,3
P1.2,13,C7,c5,AR,0R2V,0,5,982.5751824571947,1158.2174347629932,1070.396308610094,-175.64225230579848,1
P1.2,13,S2,c5,AR,0R2V,0,5,623.8926850568046,874.7006101852305,749.2966476210175,-250.80792512842595,1
P1.2,14,C7,c5,AR,0R2V,0,5,1038.9810868101918,1016.344858199567,1027.6629725048795,22.6362286106247,2
P1.2,14,S2,c5,AR,0R2V,0,5,688.2520671139414,640.7405391514864,664.4963031327138,47.511527962455034,2
P1.2,15,C7,c5,AR,0R2V,0,5,1010.4619108512986,1172.6625770180162,1091.5622439346575,-162.2006661667176,3
P1.2,15,S2,c5,AR,0R2V,0,5,653.6811127898562,910.2017807788279,781.9414467843421,-256.5206679889717,3
P1.2,16,C7,c6,AR,2R0V,2,6,1002.7119968312705,1197.3994970984138,1100.0557469648422,-194.68750026714326,1
