Participant,ConditionKey,ConditionID,Mode,Composition,Collider,n_trials,metric,meanA,meanB,meanAminusB
P1.2,c1,1,AR,0R2V,1,3,1398.3978686149326,1257.7766478499254,1539.01908937994,-281.24244153001456
P1.2,c10,10,VR,0R2V,2,3,1370.3378487285656,1232.9104942666058,1507.7652031905254,-274.8547089239196
P1.2,c11,11,VR,0R2V,0,3,1453.0039047647494,1266.3737886633762,1639.6340208661227,-373.26023220274647
P1.2,c12,12,VR,0R2V,1,3,1422.1285332384386,1345.764324318446,1498.4927421584312,-152.72841783998533
P1.2,c2,2,AR,2R0V,0,3,1423.537310252481,1265.0580737300106,1582.0165467749512,-316.9584730449404
P1.2,c3,3,AR,1R1V,0,3,1386.4653919084417,1250.772280416119,1522.1585034007646,-271.3862229846458
P1.2,c4,4,AR,1R1V,2,3,1373.7575690152294,1263.2652771437608,1484.249860886698,-220.98458374293713
P1.2,c5,5,AR,0R2V,0,3,1426.0980604089323,1277.1233047719018,1575.072816045963,-297.9495112740611
P1.2,c6,6,AR,2R0V,2,3,1399.2917438482668,1322.32135014583,1476.2621375507038,-153.9407874048737
P1.2,c7,7,AR,2R0V,1,3,1428.3647783657193,1294.9217343896737,1561.807822341765,-266.8860879520912
P1.2,c8,8,AR,1R1V,1,3,1403.81312318512,1286.1224866881028,1521.5037596821373,-235.3812729940346
P1.2,c9,9,AR,0R2V,2,3,1413.5730818200057,1285.3579443161063,1541.788219323905,-256.4302750077986
P2,c1,1,AR,0R2V,1,3,1495.6580574642358,1474.276907026455,1517.0392079020166,-42.762300875561685
P2,c10,10,VR,0R2V,2,3,1505.81646878017,1473.5146587977854,1538.1182787625548,-64.60361996476936
P2,c11,11,VR,0R2V,0,3,1597.2464425656428,1419.60334467902,1774.889540452266,-355.28619577324594
P2,c12,12,VR,0R2V,1,3,1525.0594097847415,1507.9511013944102,1542.1677181750729,-34.21661678066274
P2,c2,2,AR,2R0V,0,3,1478.8433289207026,1453.4096726618238,1504.2769851795813,-50.8673125177576
P2,c3,3,AR,1R1V,0,3,1476.7936545089103,1469.1347626211302,1484.4525463966904,-15.317783775560041
P2,c4,4,AR,1R1V,2,3,1451.854847151861,1393.566490448358,1510.1432038553635,-116.57671340700549
P2,c5,5,AR,0R2V,0,3,1416.6405760421242,1378.5890154680433,1454.6921366162048,-76.10312114816165
P2,c6,6,AR,2R0V,2,3,1468.3072144353494,1450.2668784391758,1486.347550431523,-36.08067199234695
P2,c7,7,AR,2R0V,1,3,1482.592388204712,1436.6820693494576,1528.5027070599663,-91.82063771050866
P2,c8,8,AR,1R1V,1,3,1461.6557268435474,1438.3932412971567,1484.9182123899382,-46.5249710927814
P2,c9,9,AR,0R2V,2,3,1421.583057029706,1327.9575931015602,1515.2085209578518,-187.25092785629167
P3,c1,1,AR,0R2V,1,3,1441.7679085656187,1441.0716553422735,1442.4641617889638,-1.3925064466902768
P3,c10,10,VR,0R2V,2,3,1460.2182767959664,1426.2211035129035,1494.215450079029,-67.99434656612561
P3,c11,11,VR,0R2V,0,3,1458.9697412684288,1408.5912510052467,1509.348231531611,-100.75698052636412
P3,c12,12,VR,0R2V,1,3,1466.6950991445347,1414.4455030577726,1518.9446952312965,-104.49919217352401
P3,c2,2,AR,2R0V,0,3,1446.7314355271697,1405.7671200315647,1487.6957510227749,-81.92863099121027
P3,c3,3,AR,1R1V,0,3,1399.5715711857688,1337.5871012895059,1461.556041082032,-123.96893979252611
P3,c4,4,AR,1R1V,2,3,1442.8943333896045,1401.8065763371612,1483.9820904420478,-82.17551410488659
P3,c5,5,AR,0R2V,0,3,1421.3458202364363,1369.7720505293862,1472.9195899434865,-103.14753941410034
P3,c6,6,AR,2R0V,2,3,1465.0214943045685,1422.226554891709,1507.816433717428,-85.58987882571925
P3,c7,7,AR,2R0V,1,3,1449.0491108049662,1396.0549559921533,1502.0432656177793,-105.98830962562586
P3,c8,8,AR,1R1V,1,3,1445.87958205233,1399.4355098112314,1492.3236542934287,-92.88814448219736
P3,c9,9,AR,0R2V,2,3,1464.5639354327686,1399.9162883033273,1529.2115825622102,-129.29529425888276
