Participant,ConditionKey,delta_AminusB,ConditionID,Mode,Composition,Collider
P1.2,c1,-131.32531359114955,1,AR,0R2V,1
P1.2,c10,-69.78178080250814,10,VR,0R2V,2
P1.2,c11,299.1050150485182,11,VR,0R2V,0
P1.2,c12,72.62556373661596,12,VR,0R2V,1
P1.2,c2,-160.45418384972754,2,AR,2R0V,0
P1.2,c3,182.78836008518624,3,AR,1R1V,0
P1.2,c4,-72.57262533096309,4,AR,1R1V,2
P1.2,c5,43.74450154357942,5,AR,0R2V,0
P1.2,c6,-200.36398163729746,6,AR,2R0V,2
P1.2,c7,16.71574761822103,7,AR,2R0V,1
P1.2,c8,54.32925941493227,8,AR,1R1V,1
P1.2,c9,-9.880647892187199,9,AR,0R2V,2
P2,c1,-422.1809608263043,1,AR,0R2V,1
P2,c10,-398.88767008670015,10,VR,0R2V,2
P2,c11,-280.6626990273421,11,VR,0R2V,0
P2,c12,-637.7863600806268,12,VR,0R2V,1
P2,c2,-553.4433697895731,2,AR,2R0V,0
P2,c3,-337.5359705148642,3,AR,1R1V,0
P2,c4,-524.2532976169393,4,AR,1R1V,2
P2,c5,-396.95175197425374,5,AR,0R2V,0
P2,c6,-268.29068176588567,6,AR,2R0V,2
P2,c7,-561.6056626462323,7,AR,2R0V,1
P2,c8,-237.56158468770127,8,AR,1R1V,1
P2,c9,-58.20622351444581,9,AR,0R2V,2
P3,c1,79.9786790995056,1,AR,0R2V,1
P3,c10,-113.60967925004297,10,VR,0R2V,2
P3,c11,-27.93790614892032,11,VR,0R2V,0
P3,c12,42.35785055658266,12,VR,0R2V,1
P3,c2,-30.051453923760164,2,AR,2R0V,0
P3,c3,-22.133933011418094,3,AR,1R1V,0
P3,c4,7.465118678511999,4,AR,1R1V,2
P3,c5,-78.11859876251515,5,AR,0R2V,0
P3,c6,66.08146487701129,6,AR,2R0V,2
P3,c7,-88.02702278078505,7,AR,2R0V,1
P3,c8,-12.936144189899323,8,AR,1R1V,1
P3,c9,69.88169242954996,9,AR,0R2V,2
