Participant,ConditionKey,delta_meanAB,ConditionID,Mode,Composition,Collider
P1.2,c1,59.3173790517676,1,AR,0R2V,1
P1.2,c10,-9.618663427093452,10,VR,0R2V,2
P1.2,c11,-121.0941415574789,11,VR,0R2V,0
P1.2,c12,15.214361340405958,12,VR,0R2V,1
P1.2,c2,3.4527139023366544,2,AR,2R0V,0
P1.2,c3,46.90169365226075,3,AR,1R1V,0
P1.2,c4,-28.330148834308602,4,AR,1R1V,2
P1.2,c5,-13.009450662983227,5,AR,0R2V,0
P1.2,c6,82.7364999692445,6,AR,2R0V,2
P1.2,c7,-86.51952874135259,7,AR,2R0V,1
P1.2,c8,5.740854881178848,8,AR,1R1V,1
P1.2,c9,-16.95602041809002,9,AR,0R2V,2
P2,c1,0.1594584774136365,1,AR,0R2V,1
P2,c10,-93.3598121092075,10,VR,0R2V,2
P2,c11,3.630899976479668,11,VR,0R2V,0
P2,c12,-192.24649084593148,12,VR,0R2V,1
P2,c2,-130.94517082433822,2,AR,2R0V,0
P2,c3,-22.987269042771686,3,AR,1R1V,0
P2,c4,-148.8459033024933,4,AR,1R1V,2
P2,c5,-136.06792559868018,5,AR,0R2V,0
P2,c6,-144.26045166682047,6,AR,2R0V,2
P2,c7,-132.6486926103198,7,AR,2R0V,1
P2,c8,-47.129607229209114,8,AR,1R1V,1
P2,c9,-49.17084622119046,9,AR,0R2V,2
P3,c1,-27.048478701022532,1,AR,0R2V,1
P3,c10,-51.32179477660134,10,VR,0R2V,2
P3,c11,25.445917971334893,11,VR,0R2V,0
P3,c12,15.532690886502223,12,VR,0R2V,1
P3,c2,-29.67776523291559,2,AR,2R0V,0
P3,c3,13.985051669711083,3,AR,1R1V,0
P3,c4,-27.569963158263818,4,AR,1R1V,2
P3,c5,5.459843333691651,5,AR,0R2V,0
P3,c6,-33.54241492350843,6,AR,2R0V,2
P3,c7,20.537666072473712,7,AR,2R0V,1
P3,c8,34.92628162975802,8,AR,1R1V,1
P3,c9,-52.7735946395087,9,AR,0R2V,2
