Participant,ConditionKey,ConditionID,Mode,Composition,Collider,n_trials,metric,meanA,meanB,meanAminusB
P1.2,c1,1,AR,0R2V,1,3,758.5484935848003,1257.7766478499254,1539.01908937994,-165.2575413616714
P1.2,c10,10,VR,0R2V,2,3,753.5766139872692,1232.9104942666058,1507.7652031905254,-187.43938123586187
P1.2,c11,11,VR,0R2V,0,3,742.7270124870182,1266.3737886633762,1639.6340208661227,-175.00371065252327
P1.2,c12,12,VR,0R2V,1,3,663.3808405055836,1345.764324318446,1498.4927421584312,-93.83115313228248
P1.2,c2,2,AR,2R0V,0,3,739.0000295660053,1265.0580737300106,1582.0165467749512,-182.46984435985397
P1.2,c3,3,AR,1R1V,0,3,750.600802939736,1250.772280416119,1522.1585034007646,-227.17245523252802
P1.2,c4,4,AR,1R1V,2,3,725.3474430612886,1263.2652771437608,1484.249860886698,-169.04228516458895
P1.2,c5,5,AR,0R2V,0,3,731.9114658460245,1277.1233047719018,1575.072816045963,-153.27235505164754
P1.2,c6,6,AR,2R0V,2,3,753.2750389049663,1322.32135014583,1476.2621375507038,-162.85123335699902
P1.2,c7,7,AR,2R0V,1,3,741.6001308360163,1294.9217343896737,1561.807822341765,-158.36825972884273
P1.2,c8,8,AR,1R1V,1,3,756.0396024961955,1286.1224866881028,1521.5037596821373,-281.1529958159268
P1.2,c9,9,AR,0R2V,2,3,762.851829008187,1285.3579443161063,1541.788219323905,-203.1794502989698
P2,c1,1,AR,0R2V,1,3,827.5594034970283,1474.276907026455,1517.0392079020166,-136.7324879581298
P2,c10,10,VR,0R2V,2,3,851.6633232317673,1473.5146587977854,1538.1182787625548,-199.87423649271736
P2,c11,11,VR,0R2V,0,3,859.1171936900988,1419.60334467902,1774.889540452266,-222.1857708435821
P2,c12,12,VR,0R2V,1,3,870.7120995473397,1507.9511013944102,1542.1677181750729,-291.7445160743406
P2,c2,2,AR,2R0V,0,3,814.6207563440122,1453.4096726618238,1504.2769851795813,-184.58892602902202
P2,c3,3,AR,1R1V,0,3,749.1059030316417,1469.1347626211302,1484.4525463966904,-225.95292653958788
P2,c4,4,AR,1R1V,2,3,787.8750573226309,1393.566490448358,1510.1432038553635,-277.96007602797084
P2,c5,5,AR,0R2V,0,3,750.610682059855,1378.5890154680433,1454.6921366162048,-277.5882421148851
P2,c6,6,AR,2R0V,2,3,878.6536394605889,1450.2668784391758,1486.347550431523,-188.4252314420638
P2,c7,7,AR,2R0V,1,3,775.0139720585966,1436.6820693494576,1528.5027070599663,-141.67402473340422
P2,c8,8,AR,1R1V,1,3,843.4045624316999,1438.3932412971567,1484.9182123899382,-332.20586230538674
P2,c9,9,AR,0R2V,2,3,825.0912334257703,1327.9575931015602,1515.2085209578518,-334.3515841929616
P3,c1,1,AR,0R2V,1,3,794.9507340059262,1441.0716553422735,1442.4641617889638,-226.99290779559013
P3,c10,10,VR,0R2V,2,3,822.2207664093878,1426.2211035129035,1494.215450079029,-302.5990764586086
P3,c11,11,VR,0R2V,0,3,809.0496990959172,1408.5912510052467,1509.348231531611,-248.20401424815
P3,c12,12,VR,0R2V,1,3,860.9618103941851,1414.4455030577726,1518.9446952312965,-241.60406998609946
P3,c2,2,AR,2R0V,0,3,799.0960379693715,1405.7671200315647,1487.6957510227749,-202.33648743464596
P3,c3,3,AR,1R1V,0,3,786.2560020057174,1337.5871012895059,1461.556041082032,-232.40929127564095
P3,c4,4,AR,1R1V,2,3,778.2999829829819,1401.8065763371612,1483.9820904420478,-247.0466222412783
P3,c5,5,AR,0R2V,0,3,780.7996990715117,1369.7720505293862,1472.9195899434865,-310.50582405420295
P3,c6,6,AR,2R0V,2,3,767.4565450843672,1422.226554891709,1507.816433717428,-248.87228446042832
P3,c7,7,AR,2R0V,1,3,801.5369206014894,1396.0549559921533,1502.0432656177793,-233.2205089924225
P3,c8,8,AR,1R1V,1,3,793.3586569144366,1399.4355098112314,1492.3236542934287,-205.67774760118493
P3,c9,9,AR,0R2V,2,3,778.340388092612,1399.9162883033273,1529.2115825622102,-259.4531245235316
