Participant,ConditionKey,delta_AminusB,ConditionID,Mode,Composition,Collider
P1.2,c1,7.404765982239724,1,AR,0R2V,1
P1.2,c10,66.46937463355937,10,VR,0R2V,2
P1.2,c11,61.190024393513795,11,VR,0R2V,0
P1.2,c12,76.51770681772632,12,VR,0R2V,1
P1.2,c2,2.561027890860373,2,AR,2R0V,0
P1.2,c3,-27.329884939354997,3,AR,1R1V,0
P1.2,c4,-36.73024979948946,4,AR,1R1V,2
P1.2,c5,-5.712742860545745,5,AR,0R2V,0
P1.2,c6,4.257592751061907,6,AR,2R0V,2
P1.2,c7,-63.64775354453593,7,AR,2R0V,1
P1.2,c8,9.064249114819631,8,AR,1R1V,1
P1.2,c9,-93.17580815451197,9,AR,0R2V,2
P2,c1,-20.38758088755128,1,AR,0R2V,1
P2,c10,153.31424413914976,10,VR,0R2V,2
P2,c11,19.7911870675739,11,VR,0R2V,0
P2,c12,-366.1441708738513,12,VR,0R2V,1
P2,c2,63.27892754973095,2,AR,2R0V,0
P2,c3,-48.31190980587792,3,AR,1R1V,0
P2,c4,11.156685029130017,4,AR,1R1V,2
P2,c5,-63.32732962216812,5,AR,0R2V,0
P2,c6,-63.14946624558138,6,AR,2R0V,2
P2,c7,-624.2562536244272,7,AR,2R0V,1
P2,c8,36.725544899167176,8,AR,1R1V,1
P2,c9,-73.89443674810627,9,AR,0R2V,2
P3,c1,20.57218035431856,1,AR,0R2V,1
P3,c10,-47.801269720671144,10,VR,0R2V,2
P3,c11,79.91621134367779,11,VR,0R2V,0
P3,c12,-79.58411817800447,12,VR,0R2V,1
P3,c2,-63.65582430793927,2,AR,2R0V,0
P3,c3,2.3872209228314887,3,AR,1R1V,0
P3,c4,-13.872338186831598,4,AR,1R1V,2
P3,c5,-6.874532596654944,5,AR,0R2V,0
P3,c6,-48.62123280006915,6,AR,2R0V,2
P3,c7,20.187734246119135,7,AR,2R0V,1
P3,c8,-58.51413450759526,8,AR,1R1V,1
P3,c9,45.203784238278445,9,AR,0R2V,2
