Participant,ConditionKey,delta_meanAB,ConditionID,Mode,Composition,Collider
P1.2,c1,-22.168898695554276,1,AR,0R2V,1
P1.2,c10,-28.120662656729337,10,VR,0R2V,2
P1.2,c11,1.6913818837156214,11,VR,0R2V,0
P1.2,c12,-143.7720454092049,12,VR,0R2V,1
P1.2,c2,13.785144352286352,2,AR,2R0V,0
P1.2,c3,-0.7597488117207831,3,AR,1R1V,0
P1.2,c4,-14.800604558647592,4,AR,1R1V,2
P1.2,c5,32.64479916332459,5,AR,0R2V,0
P1.2,c6,18.04440539254051,6,AR,2R0V,2
P1.2,c7,14.657715590757107,7,AR,2R0V,1
P1.2,c8,15.128415179178091,8,AR,1R1V,1
P1.2,c9,21.86245341727738,9,AR,0R2V,2
P2,c1,56.861447585130236,1,AR,0R2V,1
P2,c10,33.43185124187585,10,VR,0R2V,2
P2,c11,8.47128714106725,11,VR,0R2V,0
P2,c12,54.26581592836669,12,VR,0R2V,1
P2,c2,-32.08039893498051,2,AR,2R0V,0
P2,c3,-66.76616715506407,3,AR,1R1V,0
P2,c4,15.680595082778837,4,AR,1R1V,2
P2,c5,-109.81782481265145,5,AR,0R2V,0
P2,c6,-11.515267013750645,6,AR,2R0V,2
P2,c7,34.47121148848464,7,AR,2R0V,1
P2,c8,10.517821435688347,8,AR,1R1V,1
P2,c9,-121.33712192107146,9,AR,0R2V,2
P3,c1,14.359676458348076,1,AR,0R2V,1
P3,c10,5.344555056502145,10,VR,0R2V,2
P3,c11,-23.148164249862702,11,VR,0R2V,0
P3,c12,91.09494081964067,12,VR,0R2V,1
P3,c2,-24.64932909643551,2,AR,2R0V,0
P3,c3,-13.303395579405901,3,AR,1R1V,0
P3,c4,17.60309061156454,4,AR,1R1V,2
P3,c5,-33.86066505613405,5,AR,0R2V,0
P3,c6,9.043916429356955,6,AR,2R0V,2
P3,c7,4.071347549587017,7,AR,2R0V,1
P3,c8,14.508666495197758,8,AR,1R1V,1
P3,c9,-22.952332250813924,9,AR,0R2V,2
