"Participant","TrialNum","ok","reason","n_rows"
"P1.2",1,FALSE,"No BoxA/BoxB markers available; prop parse failed",1070
"P1.2",2,FALSE,"No BoxA/BoxB markers available; prop parse failed",838
"P1.2",3,FALSE,"No BoxA/BoxB markers available; prop parse failed",658
"P1.2",4,FALSE,"No BoxA/BoxB markers available; prop parse failed",525
"P1.2",5,FALSE,"No BoxA/BoxB markers available; prop parse failed",872
"P1.2",6,FALSE,"No BoxA/BoxB markers available; prop parse failed",542
"P1.2",7,FALSE,"No BoxA/BoxB markers available; prop parse failed",539
"P1.2",8,FALSE,"No BoxA/BoxB markers available; prop parse failed",946
"P1.2",9,FALSE,"No BoxA/BoxB markers available; prop parse failed",538
"P1.2",10,FALSE,"No BoxA/BoxB markers available; prop parse failed",539
"P1.2",11,FALSE,"No BoxA/BoxB markers available; prop parse failed",814
"P1.2",12,FALSE,"No BoxA/BoxB markers available; prop parse failed",618
"P1.2",13,FALSE,"No BoxA/BoxB markers available; prop parse failed",554
"P1.2",14,FALSE,"No BoxA/BoxB markers available; prop parse failed",938
"P1.2",15,FALSE,"No BoxA/BoxB markers available; prop parse failed",563
"P1.2",16,FALSE,"No BoxA/BoxB markers available; prop parse failed",463
"P1.2",17,FALSE,"No BoxA/BoxB markers available; prop parse failed",1036
"P1.2",18,FALSE,"No BoxA/BoxB markers available; prop parse failed",684
"P1.2",19,FALSE,"No BoxA/BoxB markers available; prop parse failed",629
"P1.2",20,FALSE,"No BoxA/BoxB markers available; prop parse failed",1103
"P1.2",21,FALSE,"No BoxA/BoxB markers available; prop parse failed",660
"P1.2",23,FALSE,"No BoxA/BoxB markers available; prop parse failed",821
"P1.2",24,FALSE,"No BoxA/BoxB markers available; prop parse failed",766
"P1.2",25,FALSE,"No BoxA/BoxB markers available; prop parse failed",583
"P1.2",26,FALSE,"No BoxA/BoxB markers available; prop parse failed",551
"P1.2",27,FALSE,"No BoxA/BoxB markers available; prop parse failed",946
"P1.2",28,FALSE,"No BoxA/BoxB markers available; prop parse failed",612
"P1.2",29,FALSE,"No BoxA/BoxB markers available; prop parse failed",706
"P1.2",30,FALSE,"No BoxA/BoxB markers available; prop parse failed",1194
"P1.2",31,FALSE,"No BoxA/BoxB markers available; prop parse failed",748
"P1.2",32,FALSE,"No BoxA/BoxB markers available; prop parse failed",724
"P1.2",33,FALSE,"No BoxA/BoxB markers available; prop parse failed",766
"P1.2",34,FALSE,"No BoxA/BoxB markers available; prop parse failed",583
"P1.2",35,FALSE,"No BoxA/BoxB markers available; prop parse failed",571
"P1.2",36,FALSE,"No BoxA/BoxB markers available; prop parse failed",1029
"P1.2",37,FALSE,"No BoxA/BoxB markers available; prop parse failed",686
"P2",5,FALSE,"No BoxA/BoxB markers available; prop parse failed",1110
"P2",6,FALSE,"No BoxA/BoxB markers available; prop parse failed",1009
"P2",7,FALSE,"No BoxA/BoxB markers available; prop parse failed",784
"P2",8,FALSE,"No BoxA/BoxB markers available; prop parse failed",932
"P2",9,FALSE,"No BoxA/BoxB markers available; prop parse failed",622
"P2",10,FALSE,"No BoxA/BoxB markers available; prop parse failed",837
"P2",11,FALSE,"No BoxA/BoxB markers available; prop parse failed",1163
"P2",12,FALSE,"No BoxA/BoxB markers available; prop parse failed",653
"P2",13,FALSE,"No BoxA/BoxB markers available; prop parse failed",567
"P2",14,FALSE,"No BoxA/BoxB markers available; prop parse failed",781
"P2",15,FALSE,"No BoxA/BoxB markers available; prop parse failed",440
"P2",16,FALSE,"No BoxA/BoxB markers available; prop parse failed",483
"P2",17,FALSE,"No BoxA/BoxB markers available; prop parse failed",1033
"P2",18,FALSE,"No BoxA/BoxB markers available; prop parse failed",433
"P2",19,FALSE,"No BoxA/BoxB markers available; prop parse failed",540
"P2",20,FALSE,"No BoxA/BoxB markers available; prop parse failed",787
"P2",21,FALSE,"No BoxA/BoxB markers available; prop parse failed",600
"P2",22,FALSE,"No BoxA/BoxB markers available; prop parse failed",624
"P2",23,FALSE,"No BoxA/BoxB markers available; prop parse failed",1217
"P2",24,FALSE,"No BoxA/BoxB markers available; prop parse failed",597
"P2",25,FALSE,"No BoxA/BoxB markers available; prop parse failed",529
"P2",26,FALSE,"No BoxA/BoxB markers available; prop parse failed",948
"P2",27,FALSE,"No BoxA/BoxB markers available; prop parse failed",501
"P2",28,FALSE,"No BoxA/BoxB markers available; prop parse failed",472
"P2",29,FALSE,"No BoxA/BoxB markers available; prop parse failed",762
"P2",30,FALSE,"No BoxA/BoxB markers available; prop parse failed",591
"P2",31,FALSE,"No BoxA/BoxB markers available; prop parse failed",812
"P2",32,FALSE,"No BoxA/BoxB markers available; prop parse failed",1499
"P2",33,FALSE,"No BoxA/BoxB markers available; prop parse failed",556
"P2",34,FALSE,"No BoxA/BoxB markers available; prop parse failed",663
"P2",35,FALSE,"No BoxA/BoxB markers available; prop parse failed",1148
"P2",36,FALSE,"No BoxA/BoxB markers available; prop parse failed",641
"P2",37,FALSE,"No BoxA/BoxB markers available; prop parse failed",563
"P2",38,FALSE,"No BoxA/BoxB markers available; prop parse failed",1099
