"Participant","TrialNum","ok","reason","n_rows","ConditionKey","TrialInBlock","ConditionID","ConditionLabel","Mode","Composition","Collider"
"P1.2",1,FALSE,"No BoxA/BoxB markers available; prop parse failed",1070,"c1",1,1,"AR 0R2V + Collider1","AR","0R2V",1
"P1.2",2,FALSE,"No BoxA/BoxB markers available; prop parse failed",838,"c1",2,1,"AR 0R2V + Collider1","AR","0R2V",1
"P1.2",3,FALSE,"No BoxA/BoxB markers available; prop parse failed",658,"c1",3,1,"AR 0R2V + Collider1","AR","0R2V",1
"P1.2",4,FALSE,"No BoxA/BoxB markers available; prop parse failed",525,"c2",1,2,"AR 2R0V + Collider0","AR","2R0V",0
"P1.2",5,FALSE,"No BoxA/BoxB markers available; prop parse failed",872,"c2",2,2,"AR 2R0V + Collider0","AR","2R0V",0
"P1.2",6,FALSE,"No BoxA/BoxB markers available; prop parse failed",542,"c2",3,2,"AR 2R0V + Collider0","AR","2R0V",0
"P1.2",7,FALSE,"No BoxA/BoxB markers available; prop parse failed",539,"c3",1,3,"AR 1R1V + Collider0","AR","1R1V",0
"P1.2",8,FALSE,"No BoxA/BoxB markers available; prop parse failed",946,"c3",2,3,"AR 1R1V + Collider0","AR","1R1V",0
"P1.2",9,FALSE,"No BoxA/BoxB markers available; prop parse failed",538,"c3",3,3,"AR 1R1V + Collider0","AR","1R1V",0
"P1.2",10,FALSE,"No BoxA/BoxB markers available; prop parse failed",539,"c4",1,4,"AR 1R1V + Collider2","AR","1R1V",2
"P1.2",11,FALSE,"No BoxA/BoxB markers available; prop parse failed",814,"c4",2,4,"AR 1R1V + Collider2","AR","1R1V",2
"P1.2",12,FALSE,"No BoxA/BoxB markers available; prop parse failed",618,"c4",3,4,"AR 1R1V + Collider2","AR","1R1V",2
"P1.2",13,FALSE,"No BoxA/BoxB markers available; prop parse failed",554,"c5",1,5,"AR 0R2V + Collider0","AR","0R2V",0
