"Participant","BlockIndex","ConditionKey","ConditionID","Mode","Composition","Collider","mean_AB","mean_A","mean_B","mean_AminusB"
"P1.2",1,"AR|0R2V|Collider1","C1","AR","0R2V",1,1625.44515954824,1479.27888923627,1771.6114298602,-292.332540623929
"P1.2",2,"AR|2R0V|Collider0","C2","AR","2R0V",0,1427.18240878962,1445.74645228515,1408.61836529409,37.1280869910547
"P1.2",3,"AR|1R1V|Collider0","C3","AR","1R1V",0,1473.51794887482,1450.94657849358,1496.08931925606,-45.1427407624824
"P1.2",4,"AR|1R1V|Collider2","C4","AR","1R1V",2,1474.79663126555,1499.82599303037,1449.76726950074,50.0587235296355
"P1.2",5,"AR|0R2V|Collider0","C5","AR","0R2V",0,1479.27760296799,1495.78935680301,1462.76584913298,33.0235076700318
"P1.2",6,"AR|2R0V|Collider2","C6","AR","2R0V",2,1450.7899665913,1525.22248275042,1376.35745043219,148.865032318232
"P1.2",7,"AR|2R0V|Collider1","C7","AR","2R0V",1,1493.59126872827,1530.79659781691,1456.38593963962,74.4106581772951
"P1.2",8,"AR|1R1V|Collider1","C8","AR","1R1V",1,1515.19837576657,1358.50158526608,1671.89516626706,-313.393581000975
"P1.2",9,"AR|0R2V|Collider2","C9","AR","0R2V",2,1456.76685701,1401.7671950614,1511.7665189586,-109.99932389719
"P1.2",10,"VR|2R0V|Collider2","C10","VR","2R0V",2,1520.93230797465,1523.79575664886,1518.06885930044,5.72689734842364
"P1.2",11,"VR|2R0V|Collider0","C11","VR","2R0V",0,1522.03544453406,1443.57986792647,1600.49102114164,-156.911153215162
"P1.2",12,"VR|2R0V|Collider1","C12","VR","2R0V",1,1535.4967739358,1558.19037721179,1512.80317065981,45.3872065519746
"P2",1,"AR|0R2V|Collider1","C1","AR","0R2V",1,1481.48085443624,1543.93079786272,1419.03091100975,124.899886852973
"P2",2,"AR|2R0V|Collider0","C2","AR","2R0V",0,1577.46133147829,1577.07725257416,1577.84541038242,-0.768157808255921
"P2",3,"AR|1R1V|Collider0","C3","AR","1R1V",0,1557.87882254897,1534.58996143022,1581.16768366772,-46.5777222375044
"P2",4,"AR|1R1V|Collider2","C4","AR","1R1V",2,1559.81731594677,1610.24332613226,1509.39130576128,100.852020370986
"P2",5,"AR|0R2V|Collider0","C5","AR","0R2V",0,1536.49476482308,1575.32679616012,1497.66273348604,77.6640626740725
"P2",6,"AR|2R0V|Collider2","C6","AR","2R0V",2,1539.06739339804,1548.45679099388,1529.67799580219,18.7787951916939
"P2",7,"AR|2R0V|Collider1","C7","AR","2R0V",1,1536.56366558356,1456.98018858211,1616.14714258501,-159.166954002898
"P2",8,"AR|1R1V|Collider1","C8","AR","1R1V",1,1476.87307104464,1527.31366505825,1426.43247703102,100.881188027235
"P2",9,"AR|0R2V|Collider2","C9","AR","0R2V",2,1552.19573186165,1584.00495291857,1520.38651080473,63.6184421138443
"P2",10,"VR|2R0V|Collider2","C10","VR","2R0V",2,1578.82680250684,1505.27417247266,1652.37943254102,-147.105260068358
"P2",11,"VR|2R0V|Collider0","C11","VR","2R0V",0,1580.52059412845,1448.70773596009,1712.33345229681,-263.625716336717
"P2",12,"VR|2R0V|Collider1","C12","VR","2R0V",1,1607.08816254961,1580.71152828702,1633.4647968122,-52.7532685251734
