"File","Reason","Group","Participant"
"P1_Trial16.trc","File missing","16-18","P1"
"P1_Trial17.trc","File missing","16-18","P1"
"P1_Trial18.trc","File missing","16-18","P1"
"P1_Trial19.trc","File missing","19-21","P1"
"P1_Trial20.trc","File missing","19-21","P1"
"P1_Trial21.trc","File missing","19-21","P1"
"P1_Trial22.trc","File missing","22-24","P1"
"P1_Trial23.trc","File missing","22-24","P1"
"P1_Trial24.trc","File missing","22-24","P1"
"P1_Trial25.trc","File missing","25-27","P1"
"P1_Trial26.trc","File missing","25-27","P1"
"P1_Trial27.trc","File missing","25-27","P1"
"P1_Trial28.trc","File missing","28-30","P1"
"P1_Trial29.trc","File missing","28-30","P1"
"P1_Trial30.trc","File missing","28-30","P1"
"P1_Trial31.trc","File missing","31-33","P1"
"P1_Trial32.trc","File missing","31-33","P1"
"P1_Trial33.trc","File missing","31-33","P1"
