"Group","Participant","TrialNum","File","Reason"
"G1","P1",16,NA,"File not found in P1 folder"
"G1","P1",17,NA,"File not found in P1 folder"
"G1","P1",18,NA,"File not found in P1 folder"
"G1","P2",16,"P2_Trial16.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G1","P2",17,"P2_Trial17.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G1","P2",18,"P2_Trial18.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G2","P1",19,NA,"File not found in P1 folder"
"G2","P1",20,NA,"File not found in P1 folder"
"G2","P1",21,NA,"File not found in P1 folder"
"G2","P2",22,"P2_Trial22.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G2","P2",23,"P2_Trial23.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G2","P2",24,"P2_Trial24.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G3","P1",22,NA,"File not found in P1 folder"
"G3","P1",23,NA,"File not found in P1 folder"
"G3","P1",24,NA,"File not found in P1 folder"
"G3","P2",25,"P2_Trial25.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G3","P2",26,"P2_Trial26.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G3","P2",27,"P2_Trial27.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G4","P1",25,NA,"File not found in P1 folder"
"G4","P1",26,NA,"File not found in P1 folder"
"G4","P1",27,NA,"File not found in P1 folder"
"G4","P2",13,"P2_Trial13.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G4","P2",14,"P2_Trial14.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G4","P2",15,"P2_Trial15.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G5","P1",28,NA,"File not found in P1 folder"
"G5","P1",29,NA,"File not found in P1 folder"
"G5","P1",30,NA,"File not found in P1 folder"
"G5","P2",31,"P2_Trial31.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G5","P2",32,"P2_Trial32.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G5","P2",33,"P2_Trial33.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G6","P1",31,NA,"File not found in P1 folder"
"G6","P1",32,NA,"File not found in P1 folder"
"G6","P1",33,NA,"File not found in P1 folder"
"G6","P2",19,"P2_Trial19.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G6","P2",20,"P2_Trial20.trc","Missing C7/S2 (C7=NA, S2=NA)"
"G6","P2",21,"P2_Trial21.trc","Missing C7/S2 (C7=NA, S2=NA)"
