"Group","Participant","TrialNum","File","Reason"
"G1","P1",16,NA,"CSV not found in P1 raw-csv folder"
"G1","P1",17,NA,"CSV not found in P1 raw-csv folder"
"G1","P1",18,NA,"CSV not found in P1 raw-csv folder"
"G2","P1",19,NA,"CSV not found in P1 raw-csv folder"
"G2","P1",20,NA,"CSV not found in P1 raw-csv folder"
"G2","P1",21,NA,"CSV not found in P1 raw-csv folder"
"G3","P1",22,NA,"CSV not found in P1 raw-csv folder"
"G3","P1",23,NA,"CSV not found in P1 raw-csv folder"
"G3","P1",24,NA,"CSV not found in P1 raw-csv folder"
"G4","P1",25,NA,"CSV not found in P1 raw-csv folder"
"G4","P1",26,NA,"CSV not found in P1 raw-csv folder"
"G4","P1",27,NA,"CSV not found in P1 raw-csv folder"
"G5","P1",28,NA,"CSV not found in P1 raw-csv folder"
"G5","P1",29,NA,"CSV not found in P1 raw-csv folder"
"G5","P1",30,NA,"CSV not found in P1 raw-csv folder"
"G6","P1",31,NA,"CSV not found in P1 raw-csv folder"
"G6","P1",32,NA,"CSV not found in P1 raw-csv folder"
"G6","P1",33,NA,"CSV not found in P1 raw-csv folder"
