"Group","Participant","TrialNum","File","Reason"
"G1","P1",16,"P1_boxCal16.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G1","P1",17,"P1_boxCal17.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G1","P1",18,"P1_boxCal18.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G1","P2",16,"P2_Trial16.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G1","P2",17,"P2_Trial17.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G1","P2",18,"P2_Trial18.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G2","P1",19,"P1_boxCal19.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G2","P1",20,"P1_boxCal20.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G2","P1",21,"P1_boxCal21.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
"G2","P2",22,"P2_Trial22.trc","Missing C7/S2 (C7=NA, S2=NA). Example prefixes: c..Headset_Front_X....Headset_Front_Y....Headset_Front_Z.., c..Headset_Back_X....Headset_Back_Y....Headset_Back_Z.., c..Headset_Left_X....Headset_Left_Y....Headset_Left_Z.., c..Headset_Right_X....Headset_Right_Y....Headset_Right_Z.., c..Left_Shoulder_X....Left_Shoulder_Y....Left_Shoulder_Z.., c..Right_Shoulder_X....Right_Shoulder_Y....Right_Shoulder_Z.., c..Sternum_X....Sternum_Y....Sternum_Z.., c..C7_X....C7_Y....C7_Z.., c..Left.Elbow_X....Left.Elbow_Y....Left.Elbow_Z.., c..Right.Elbow_X....Right.Elbow_Y....Right.Elbow_Z.., c..Left.Wrist_X....Left.Wrist_Y....Left.Wrist_Z.., c..Right.Wrist_X....Right.Wrist_Y....Right.Wrist_Z.."
